REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011	SITE MANAGER	JASON DVORAK	78759MDYNT11705	3M CO - AUSTIN RESEARCH BOULEVARD SITE	11705 RESEARCH BLVD	AUSTIN	TRAVIS	TX	78759	3M CO - AUSTIN RESEARCH BOULEVARD SITE	11705 RESEARCH BLVD	AUSTIN	TX		78759	YES	NO	NO	NO	MICHAEL D. GARCIA, P.E., CSP	5129841800	3825	3661						334515						30.419577	-97.746551	112559018								3M CO	006173082	NO		
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
2011	PLANT MANAGER	MIKE TITTLE	76804MCMPNCAMPB	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	BROWN	TX	76801	3M CO - BROWNWOOD	4501 HWY 377 S	BROWNWOOD	TX		76801	YES	NO	NO	NO	MIKE TITTLE	3256463551	3081							326113	327212					31.67028	-98.99996	001806868								3M CO	006173082	NO	EPCRA@MMM.COM	
