REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011	VP - CFO	LENORA KRIELOW	70525BLNTR124HW	ABL ENTERPRISES LLC	1024 HWY 343	CHURCH POINT	ACADIA	LA	70525	ABL ENTERPRISES LLC	PO BOX 850	SCOTT	LA		70583	YES	NO	NO	NO	LENORA KRIELOW	3376684800								332812						30.321111	-92.140833											NO	LKRIELOW@ABLINDUSTRIES.ORG	
2011	PRESIDENT	GLYNN HEBERT	7051WCDNCN1712W	ACADIAN CONTRACTORS INC	17102 W HWY 330	ABBEVILLE	VERMILION	LA	70510	ACADIAN CONTRACTORS INC	PO BOX 1608	ABBEVILLE	LA		70511	YES	NO	NO	NO	GLYNN HEBERT	3378936397								237120						0	0	065511065								ACADIAN CONTRACTORS INC		NO	GLYNN-HEBERT@ACADIANCONTRACTORS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
2011	SENIOR VICE PRESIDENT	SHEILA GLESMANN	7101WDCRBN21RED	ADA CARBON SOLUTIONS (RED RIVER) LLC	201 RED RIVER MINE RD	COUSHATTA	RED RIVER	LA	71019	ADA CARBON SOLUTIONS (RED RIVER) LLC	8100 SOUTHPARK WAY, UNIT A-2	LITTLETON	CO		80120	YES	NO	NO	NO	BRIAN H SMITH	3187590166								325998						32.005405	-93.387829									ADA CARBON SOLUTIONS LLC	833125011	NO	BRIAN.SMITH@ADA-CS.COM	
