REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	
1994	PRES.	AUGUST T. NAUMANN JR.	21224PLTNG311ST	A-1 PLATING CO INC	311 S HAVEN ST	BALTIMORE	BALTIMORE (CITY)	MD	21224	A-1 PLATING CO INC	311 S HAVEN ST	BALTIMORE	MD		21224	YES	NO	NO		C G REYNOLDS	4103275524	3471							332813						39.288413	-76.562528			MDD003101847								NO		
2007	DIRECTOR, ENVIRONMENTAL, HEALTH AND SAFETY	DOUGLAS H. TAYLOR	21030CRPRTYORKR	AAI CORP	124 INDUSTRY LN	COCKEYSVILLE	BALTIMORE	MD	21030	AAI CORP	PO BOX 126	HUNT VALLEY	MD		210300126	YES	NO	NO	NO	SHARON CORONA	4106283184	3699							336411	336413	541330				39.466419	-76.637476	003090198								TEXTRON INC	001338979	NO	CORONA@AAICORP.COM	
2002	MANAGER, SAFETY, HEALTH & ENVIRONMENT	DAVID MINFORD	21031CRPTR300CL	AAI. CORP. TRANSPORTATION SERVICES	300 CLUBHOUSE LN.	HUNT VALLEY	BALTIMORE	MD	21031	AAI. CORP. TRANSPORTATION SERVICES	300 CLUBHOUSE LN.	HUNT VALLEY	MD		21031	YES	NO	NO	NO	SUSAN FLOWERS	4106288710	3799							336419						39.483786	-76.661348	003090198		MD003090198						UNITED INDL. CORP.	001527852	NO		
1993	PLANT MANAGER	LESLIE P. SMITHERMAN	21217BCRLC20014	ABC RAIL CORP	2001-45 WINCHESTER ST	BALTIMORE	BALTIMORE (CITY)	MD	21217	ABC RAIL CORP	PO BOX 4457	BALTIMORE	MD		21223-0457	YES	NO	NO		LESILE P SMITHERMAN	4106693272	3320							331513						39.30206	-76.645925	174451286		MDD003063930		MD0060011						NO		
2007	PRESIDENT	LARRY CANTRELL	21502SWRRR11600	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	ALLEGANY	MD	21502	AES WARRIOR RUN INC	11600 MEXICO FARMS RD SE	CUMBERLAND	MD		21502	YES	NO	NO	NO	JILL LYON	3017770055	4911							221112						39.598591	-78.742902	159808419								AES CORP	043857812	NO	JILL.LYON@AES.COM	
2007	PLANT MANAGER	ARTIS R WILLIAMS	21921RPRDC329WE	AIR PRODUCTS & CHEMICALS INC	329 W MAIN ST	ELKTON	CECIL	MD	21921	AIR PRODUCTS & CHEMICALS INC	329 W MAIN ST	ELKTON	MD		21921	YES	NO	NO	NO	ARTIS WILLIAMS	4103928814	2821	2891						325211						39.606389	-75.842222	003067832								AIR PRODUCTS & CHEMICALS	003001070	NO	WILLIAAR@AIRPRODUCTS.COM	
1993	MANAGER, GASES GROUP ENVIRONMENTAL	JOSEPH W. GENTILE	20781RPRDC29005	AIR PRODUCTS & CHEMICALS INC.	2900 52ND AVE.	HYATTSVILLE	PRINCE GEORGES	MD	20781	AIR PRODS. & CHEMICALS INC.	7201 HAMILTON BLVD.	ALLENTOWN	PA		18195-1501	YES	NO	NO		CHARLES DAIL	3018642345	2813							325120						38.926791	-76.931017	003249885				MDR000001				AIR PRODUCTS & CHEMICALS INC	003001070	NO		
1997	MANAGER, GEG EH&S	J. L. HENNINGER	21219RPRDC2005R	AIR PRODUCTS & CHEMICALS INC.	2005 RESERVOIR RD.	SPARROWS POINT	BALTIMORE	MD	21219	AIR PRODUCTS & CHEMICALS INC.	2005 RESERVOIR RD.	SPARROWS POINT	MD		21219	YES	NO	NO		D. DILLER	4104772882	2813							325120						39.242766	-76.474119	101454809		MDD041953126		MD0060828				AIR PRODUCTS & CHEMICALS INC	003001070	NO		
2001	MANUFACTURING MGR.	RAY LEVESQUE	21017LCRNC1324B	ALCORE INC	1324 BRASS MILL ROAD	BELCAMP	HARFORD	MD	21017	ALCORE INC	1502 QUARRY DRIVE	EDGEWOOD	MD		21040-1063	YES	NO	NO		RAY LEVESQUE	4106767100	3499							322299						39.481555	-76.23492	786677716		MDD985411289						M.C. GILL CORP	786677716	NO		
2007	TECHNOLOGY MANAGER	RAYMOND LEVESQUE	21040LCRNC1502Q	ALCORE INC - LAKESIDE	1502 QUARRY DR	EDGEWOOD	HARFORD	MD	210401063	ALCORE INC - LAKESIDE	1502 QUARRY DR	EDGEWOOD	MD		21040-1063	YES	NO	NO	NO	RAY LEVESQUE	4433702428	3499							332999						39.446609	-76.315158	786677716								M.C. GILL CORP	786677716	NO		
