REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	
2007	GENERAL MANAGER (A)	ANDRIANO E. BALAJADIA	96915GMPWR322CA	GUAM POWER AUTHORITY	322 CABRAS HWY RT 11	PITI	GUAM	GU	96925	GUAM POWER AUTHORITY	PO BOX 2977	HAGATNA	GU		96932	YES	NO	NO	NO	SYLVIA I. IPANAG	6716483217	4911							221112						13.3949	144.7071											NO	SIPANAG@GPAGWA.COM	
2007	PRESIDENT	JERROLD C. JOHNSON	96913HWNRC1402R	HAWAIIAN ROCK PRODUCTS - GUAM	1402 RT 15	MANGILAO	GUAM	GU	96913	HAWAIIAN ROCK PRODUCTS - GUAM	1402 RT 15	MANGILAO	GU		96913	YES	NO	NO	NO	FRANK C. ATOIGUE	6717342971	3273	2951						327310						13.5175	144.8894	778901017								MCC DEVELOPMENT CORP	838030492	NO	FATOIGUE@HAWAIIANROCK.COM	
2007	MOBIL OIL GUAM INC. DISTRIBUTION MANAGER	BERNADETTE N. VALENCIA	96925MBLLC1189C	MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL)	1189 CABRAS HWY	AGANA	GUAM	GU	96925	MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL)	PO BOX EU	HAGATNA	GU		96932	YES	NO	NO	NO	REN MABESA	6714793227	5171							424710						0	0	001294834								EXXONMOBIL CORP	001213214	NO	REN.MABESA@EXXONMOBIL.COM	
2007	V.P.	FE OTTE ON BEHALF OF PLANIDEL A. SANTOS	96928SHLLGTENJO	SHELL GUAM INC	CHALAN TENJO VISTA	AGAT	GUAM	GU	96915	SHELL GUAM INC	CHANLAN SAN ANTONIO STE 100	TAMUNING	GU		96913	YES	NO	NO	NO	PHIL MUNA	6715652300	5171							424710						13.419444	144.683333	980087247								SHELL GUAM INC	980087247	NO		
2007	GENERAL MANAGER	DOUGLAS R. DEAN	96913STHPC816NM	SOUTH PACIFIC PETROLEUM CORP	CORNER OF RT 11 & F-1 PIER RD CABRAS ISLAND	PITI	GUAM	GU	96915	SOUTH PACIFIC PETROLEUM CO	816 N MARINE CORPS DR VA BUILDING 2ND FLOOR	TAMUNING	GU		96913	YES	NO	NO	NO	VICTOR TORRES	6714728871	5171							424710						0	0	855022534										NO	VTORRES@SPPCORP.COM	
2007	PLANT MANAGER	MICHAEL ALVAREZ	96912TNGSSPARCE	TANGUISSON POWER PLANT	PARCEL 1, ESTATE 103	DEDEDO	GUAM	GU	96912	PRUVIENT ENERGY GUAM CORP.	PO BOX 21029	BARRIGADA	GU		96921	YES	NO	NO	NO	MICHAEL CRUZ	6716478265	4911							221112						0	0	135778103										NO	MICHAEL.CRUZ@PRUVIENT.COM	
2007	CHIEF, ENVIRONMENTAL QUALITY	RUSSELL K. GROSSLEY	96543SRFRC36CES	U.S. AIR FORCE ANDERSEN AIR FORCE BASE	36 CES/CEVQ UNIT 14007	YIGO	GUAM	GU	96543	U.S. AIR FORCE ANDERSEN AIR FORCE BASE	36 CES/CEVQ UNIT 14007	YIGO	GU		96543	YES	NO	YES	NO	PUBLIC AFFAIRS	6713664202	4581	9711						488119	928110	493190				13.57291	144.89736									U.S. AIR FORCE		YES		
2002	ENVIRONMENTAL OFFICER	T. SCHEUERMANN, LCDR N45	96915SNVYCCOMNA	U.S. NAVY COMNAVMARIANAS GUAM - FUEL FARM ANNEX	COMNAVMAR FUEL FARM BLDG. 1700 MARINE DR.	SANTA RITA	GUAM	GU	96915	COMNAVMARIANAS GUAM N45	PSC 455 BOX 152	FPO	AP		96540	YES	NO	YES	NO	ROY TSUTSUI	6713395094	9711							928110						13.453611	144.688055									U.S. DEPARTMENT OF DEFENSE		YES		
2001	FACILITIES/ ENVIRONMENTAL MANAGER	B. D. PINA, CDR CEC USN	96915SNVYCBLDGA	U.S. NAVY COMNAVMARIANAS GUAM KD/OROTE	BLDG. 101 COMNAVSUPACT	SANTA RITA	GUAM	GU	96915	COMNAVMARIANAS GUAM N45	PSC 455 BOX 152	FPO	AP		96540-1000	YES	NO	YES	NO	ROY TSUTSUI	6713395094	9711							928110						0	0			GU7170027323		GUR05A004	GU0110019			U.S. DEPARTMENT OF DEFENSE		YES		
2007	ENVIRONMENTAL PROTECTION SPECIALIST	BLAISE KOKI	96915SNVYPCODE9	U.S. NAVY COMNAVMARIANAS GUAM MAIN BASE - APRA HARBOR WWTP	1801 S MARINE DR	SANTA RITA	GUAM	GU	96915	U.S. NAVY COMNAVREGMARIANAS N45	PSC 455 BOX 152	FPO	AP		965401000	YES	NO	YES	NO	BLAISE KOKI	6713395314	9711							928110						13.419606	144.673653									U.S. NAVY		YES	BLAISE.KOKI@NAVFACMAR.NAVY.MIL	
2001	FACILITIES/ ENVIRONMENTAL MANAGER	B. D. PINA, CDR CEC USN	96915SNVYCBLDG1	U.S. NAVY COMNAVMARIANAS GUAM NCTS PISTOL RANGE	BLDG. 101 COMNAVSUPACT	SANTA RITA	GUAM	GU	96915	COMNAVMARIANAS GUAM N45	PSC 455 BOX 152	FPO	AP		96540-1000	YES	NO	YES	NO	ROY TSUTSUI	6713395094	9711							928110						0	0			GU7170027323		GUR05A004	GU0110019			U.S. DEPARTMENT OF DEFENSE		YES		
