REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011	PLANT MANAGER	CHARLES AVERY	50010MNNST900DA	3M CO - AMES	900 DAYTON AVE	AMES	STORY	IA	500106493	3M CO - AMES	900 DAYTON AVE	AMES	IA		50010-6493	YES	NO	NO	NO	CHARLES AVERY	5152321184	3291							327910						42.0296	-93.57913	089979058								3M CO	006173082	NO	CAVERY@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320879	-93.082863	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2011	GENERAL MANAGER	ALSTON PENFOLD	50461TZDRY1WALL	A TO Z DRYING INC	1000 WALLACE RD	OSAGE	MITCHELL	IA	50461	A TO Z DRYING INC	PO BOX 180	OSAGE	IA		50461	YES	NO	NO	NO	JASON PENFOLD	6417325805								325320						43.27255	-92.80694									A TO Z DRYING INC	061322343	NO	JPENFOLD@ATOZDRYING.COM	
