REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	
2007	VP MANUFACTURING	AL BOUNDS	30331DYNTR3700A	3M ATLANTA	3700 ATLANTA INDUSTRIAL PKWY	ATLANTA	FULTON	GA	30331	3M ATLANTA	3700 ATLANTA INDUSTRIAL PKWY	ATLANTA	GA		30331	YES	NO	NO	NO	JAMES ALBRIGHT	4046962730	2851							325510						33.798693	-84.496683	004135174								3M CO INC	006173082	NO	JNALBRIGHT@MMM.COM	
2007	OWNER	TIM MORGAN	30161LSHLD268OL	A & L SHIELDING INC.	268 OLD LINDALE RD	ROME	FLOYD	GA	30161	A & L SHIELDING INC.	268 OLD LINDALE RD	ROME	GA		30161	YES	NO	NO	NO	RICK LYNCH	7062358822	3842							332321						34.215277	-85.175447	033834037										NO	RICK@ALSHIELDING.COM	
2007	VP TECHNICAL SERVICES	MICHAEL REKHELMAN	30260BCCMP6970J	ABC COMPOUNDING CO INC	6970 JONESBORO RD	MORROW	CLAYTON	GA	30260	ABC COMPOUNDING CO INC	PO BOX 16247	ATLANTA	GA		30321	YES	NO	NO	NO	MICHAEL REKHELMAN	7709689222	2842							325611	325620	325612				33.565634	-84.344023	003284353										NO	MICHAEL@ABCCOMPOUNDING.COM	
1994	EPA SPECIALIST	CHARLES E. FANCHER	31021BXNWL2010A	ABEX/NWL AEROSPACE	2010 ACADEMY AVE.	DUBLIN	LAURENS	GA	31021	ABEX/NWL AEROSPACE	2010 ACADEMY AVE.	DUBLIN	GA		31021	YES	NO	NO		RICH HARLOW	9122779245	3728							336413						32.523304	-82.933571	194173787		GAD981230238						PNEUMO ABEX CORP.	194173787	NO		
2007	ROGER WEBER	ROGER WEBER REGIONAL PLANT OPERATIONS MANAGER	30901CNDST727LA	AC INDUSTRIES	727 LANEY WALKER BLVD EXTENSION	AUGUSTA	RICHMOND	GA	30901	AC INDUSTRIES	727 LANEY WALKER BLVD EXTENSION	AUGUSTA	GA		30901	YES	NO	NO	NO	ROGER WEBER	7067242900	2813							325120						33.451937	-81.928193	867448102								AIRGAS INC	024492860	NO	ROGER.WEBER@AIRGAS.COM	
2007	VICE PRESIDENT	GARRY EUNICE	31516CPLCNHIGHW	ACE POLE CO INC.	6352 TIMBER LN	BLACKSHEAR	PIERCE	GA	31516	ACE POLE CO INC.	PO BOX 1323	WAYCROSS	GA		31502	YES	NO	NO	NO	BRAD THOMAS	9124494011	2491							321114						31.260103	-82.294378	058487398										NO	INFO@ACEPOLE.COM	
2001	V.P. OF OPERATIONS	TONY LANDRESS	30043CTMFG2005N	ACT MANUFACTURING INC	2005 NEWPOINT PL PKWY SUITE 100	LAWRENCEVILLE	GWINNETT	GA	30043	ACT MANUFACTURING INC	2005 NEWPOINT PL PKWY SUITE 100	LAWRENCEVILLE	GA		30043	YES	NO	NO	NO	TONY LANDRESS	7702370595	3672							334412						33.998611	-84.013611	101154839		GACESQGG7467								NO		
2001	PLANT MANAGER	MIKE MILLER	30035CTYLG1LITH	ACUITY LIGHTING	1 LITHOMA WAY	DECATUR	DE KALB	GA	300354141	ACUITY LIGHTING	1 LITHOMA WAY	DECATUR	GA		30035-4141	YES	NO	NO		BEN DECKER	7708602927	3648							335129						33.708873	-84.183351	085458508								ACUITY BRANDS INC	085458508	NO		
1987	PRESIDENT	SYLVESTER SCHMIDT	30340DDMNT6555B	ADDIMENT INC.	6555 BUTTON GWINNETT DR.	DORAVILLE	GWINNETT	GA	30340	ADDIMENT INC.	6555 BUTTON GWINNETT DR.	DORAVILLE	GA		30340	YES	NO	NO		SYLVESTER SCHMIDT	4044466250	3241													33.9256	-84.246757	115312324								HEIDELBERGER ZEMENT AG		NO		
1998	VICE PRESIDENT	HOWARD BUOY	30901RCHRD960MO	ADM	960 MOLLY POND RD.	AUGUSTA	RICHMOND	GA	30901	ADM	960 MOLLY POND RD.	AUGUSTA	GA		30901	YES	NO	NO		MARK CALMES	2174247456	2076							311223						33.446872	-81.984864	001307586		207612110101		GAR000000				ADM	001307586	NO		
