YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,
"2014","20024SPRRC1601S","110024422775","SUPERIOR CONCRETE MATERIALS INC - DC","1601 S CAPITAL ST","WASHINGTON","DISTRICT OF COLUMBIA","DC","20024","","","38.87011","-77.00905","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1314212466383","NITRATE COMPOUNDS","N511","649616","NO","TRI","NO","0","NO","A","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","US CONCRETE INC","059313952"
"2014","20001SCMCM2500F","110000500832","US ARMY CORPS OF ENGINEERS MCMILLAN WTP WASHINGTON AQUEDUC","2500 FIRST ST NW","WASHINGTON","DISTRICT OF COLUMBIA","DC","20001","","","38.92237","-77.01215","YES","999","Other","","","","","","","221310","","","","","","1314212709911","MANGANESE COMPOUNDS","N450","650010","YES","TRI","YES","1","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","10590","0","10590",".01","0",".01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".01","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10590.02","0","0","10590",".0039",".0061","0","0","0","0","0","0","10590.01","","ACTIVITY","4.54","US DEPARTMENT OF DEFENSE","NA"
"2014","2003WDCVLL3DCVI","110055497706","DC VILLAGE PLANT","3 DC VILLAGE LN SW","WASHINGTON","DISTRICT OF COLUMBIA","DC","20032","","","38.817911","-77.012233","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1314213131889","NITRATE COMPOUNDS","N511","649616","NO","TRI","NO","0","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","PRODUCTION","1","MONUMENTAL CONCRETE LLC","078458675"
"2014","2003WDCVLL3DCVI","110055497706","DC VILLAGE PLANT","3 DC VILLAGE LN SW","WASHINGTON","DISTRICT OF COLUMBIA","DC","20032","","","38.817911","-77.012233","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1314213131877","MERCURY","007439976","149633","YES","PBT","YES","1","NO","R","Pounds",".03","0","0","0","0","0","0","0","0","0","0","0","0","0",".03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".03","0","0",".03","0","0","0","0","0","0","0","0",".03","","PRODUCTION",".07","MONUMENTAL CONCRETE LLC","078458675"
"2014","2000WVRGNC2SSTR","110055188425","VIRGINIA CONCRETE-SOUTHWEST DC PLANT","2 S ST SW","WASHINGTON","DISTRICT OF COLUMBIA","DC","20003","","","38.86822","-77.00917","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1314212730550","LEAD","007439921","149583","YES","PBT","YES","1","YES","R","Pounds",".0679",".0071","0","0","0","0","0","0","0","0","0","0","0","0",".075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".075","0","0",".075","0","0","0","0","0","0","0","0",".075","","PRODUCTION","1","VULCAN MATERIALS CO","805344798"
"2014","20011FRTTT5001F","110002007916","FORT TOTTEN READY MIX CONCRETE","5001 FORT TOTTEN DR NE","WASHINGTON","DISTRICT OF COLUMBIA","DC","20011","","","38.951389","-77.007403","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1314212793792","NITRATE COMPOUNDS","N511","649616","NO","TRI","NO","0","NO","R","Pounds","0","0","1680","0","0","0","0","0","0","0","0","0","0","41.81","1721.81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.81","41.81","0","0","0","0","0","0","0","0","0","0","1721.81","0","0","1721.81","0","0","0","0","0","41.81","0","0","1763.62","","PRODUCTION","1.05","HOLCIM (US) INC","622258929"
"2014","2000WVRGNC2SSTR","110055188425","VIRGINIA CONCRETE-SOUTHWEST DC PLANT","2 S ST SW","WASHINGTON","DISTRICT OF COLUMBIA","DC","20003","","","38.86822","-77.00917","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1314212730574","NITRATE COMPOUNDS","N511","649616","NO","TRI","NO","0","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","237","0","0","0","237","","PRODUCTION","1","VULCAN MATERIALS CO","805344798"
"2014","2003WDCVLL3DCVI","110055497706","DC VILLAGE PLANT","3 DC VILLAGE LN SW","WASHINGTON","DISTRICT OF COLUMBIA","DC","20032","","","38.817911","-77.012233","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1314213131865","LEAD","007439921","149583","YES","PBT","YES","1","YES","R","Pounds","275.75","0","0","0","0","0","0","0","0","0","0","0","0","0","275.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","275.75","0","0","275.75","0","0","0","0","0","0","0","0","275.75","","PRODUCTION","1.09","MONUMENTAL CONCRETE LLC","078458675"
"2014","2022WSTRSR15PEN","110006368420","US TREASURY DEPARTMENT-MAIN TREASURY & TREASURY ANNEX","1500 PENNSYLVANIA AVE NW","WASHINGTON","DISTRICT OF COLUMBIA","DC","20220","","","38.89879","-77.03364","YES","999","Other","","","","","","","926110","","","","","","1314213096326","2,2-DICHLORO-1,1,1-TRIFLUOROETHANE","000306832","41855","NO","TRI","NO","0","NO","A","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","NA",""
"2014","20315SCDLC5900M","110000500841","US ARMY CORPS OF ENGINEERS DALECARLIA WTP","5900 MACARTHUR BLVD NW","WASHINGTON","DISTRICT OF COLUMBIA","DC","20016","","","38.938","-77.113291","YES","999","Other","","","","","","","221310","","","","","","1314212709721","AMMONIA","007664417","17294687","NO","TRI","NO","0","NO","R","Pounds","83","0","0","0","0","0","0","0","0","0","0","0","0","0","83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","0","0","83","0","0","0","0","0","0","0","0","83","","ACTIVITY",".95","US DEPARTMENT OF DEFENSE","NA"
"2014","2001WVRGNC2155Q","110039498157","VIRGINIA CONCRETE QUEENS CHAPEL PLANT","2155 QUEENS CHAPEL RD NE","WASHINGTON","DISTRICT OF COLUMBIA","DC","20018","","","38.92069","-76.97349","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1314212730562","LEAD","007439921","149583","YES","PBT","YES","1","YES","R","Pounds",".0345",".0032","0","0","0","0","0","0","0","0","0","0","0","0",".0377","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".0377","0","0",".0377","0","0","0","0","0","0","0","0",".0377","","PRODUCTION","1","VULCAN MATERIALS CO","805344798"
