REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011	ENVIRONMENTAL, HEALTH AND SAFETY MANAGER	GARY CUSHING	42025LCBNDSYMSO	3A COMPOSITES USA INC	280 W 5TH ST	BENTON	MARSHALL	KY	42025	3A COMPOSITES USA INC	280 W 5TH ST	BENTON	KY		42025	YES	NO	NO	NO	GARY A. CUSHING	2705274278	3081	3083						326130						36.86642	-88.35834	056819287								3A COMPOSITES USA INC		NO	GARY.CUSHING@3ACOMPOSITES.COM	
2011	PLANT MANAGER	ANN GETTING	41031MCMPNNEWLA	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	HARRISON	KY	41031	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	KY		41031	YES	NO	NO	NO	ANN GETTING	8592345671	2672							322222	322233	326112				38.37146	-84.29413	050660836								3M CO	006173082	NO	ARGETTING@MMM.COM	
2011	PLANT MANAGER	ANN GETTING	41031MCMPNNEWLA	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	HARRISON	KY	41031	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	KY		41031	YES	NO	NO	NO	ANN GETTING	8592345671	2672							322222	322233	326112				38.37146	-84.29413	050660836								3M CO	006173082	NO	ARGETTING@MMM.COM	
2011	PLANT MANAGER	ANN GETTING	41031MCMPNNEWLA	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	HARRISON	KY	41031	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	KY		41031	YES	NO	NO	NO	ANN GETTING	8592345671	2672							322222	322233	326112				38.37146	-84.29413	050660836								3M CO	006173082	NO	ARGETTING@MMM.COM	
2011	PLANT MANAGER	ANN GETTING	41031MCMPNNEWLA	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	HARRISON	KY	41031	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	KY		41031	YES	NO	NO	NO	ANN GETTING	8592345671	2672							322222	322233	326112				38.37146	-84.29413	050660836								3M CO	006173082	NO	ARGETTING@MMM.COM	
2011	PLANT MANAGER	ANN GETTING	41031MCMPNNEWLA	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	HARRISON	KY	41031	3M CO - CYNTHIANA	1308 NEW LAIR RD	CYNTHIANA	KY		41031	YES	NO	NO	NO	ANN GETTING	8592345671	2672							322222	322233	326112				38.37146	-84.29413	050660836								3M CO	006173082	NO	ARGETTING@MMM.COM	
2011	QUALITY ASSURANCE MANAGER	MICHAEL SIEROCKI	41042SMTHC8160H	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KENTON	KY	41042	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KY		41042	YES	NO	NO	NO	GLENN PFENDT	8597273500	2899							325510						38.973815	-84.609617	116229865								A O SMITH CORP	006085815	NO		
2011	QUALITY ASSURANCE MANAGER	MICHAEL SIEROCKI	41042SMTHC8160H	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KENTON	KY	41042	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KY		41042	YES	NO	NO	NO	GLENN PFENDT	8597273500	2899							325510						38.973815	-84.609617	116229865								A O SMITH CORP	006085815	NO		
2011	QUALITY ASSURANCE MANAGER	MICHAEL SIEROCKI	41042SMTHC8160H	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KENTON	KY	41042	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KY		41042	YES	NO	NO	NO	GLENN PFENDT	8597273500	2899							325510						38.973815	-84.609617	116229865								A O SMITH CORP	006085815	NO		
2011	QUALITY ASSURANCE MANAGER	MICHAEL SIEROCKI	41042SMTHC8160H	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KENTON	KY	41042	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KY		41042	YES	NO	NO	NO	GLENN PFENDT	8597273500	2899							325510						38.973815	-84.609617	116229865								A O SMITH CORP	006085815	NO		
2011	QUALITY ASSURANCE MANAGER	MICHAEL SIEROCKI	41042SMTHC8160H	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KENTON	KY	41042	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KY		41042	YES	NO	NO	NO	GLENN PFENDT	8597273500	2899							325510						38.973815	-84.609617	116229865								A O SMITH CORP	006085815	NO		
2011	QUALITY ASSURANCE MANAGER	MICHAEL SIEROCKI	41042SMTHC8160H	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KENTON	KY	41042	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KY		41042	YES	NO	NO	NO	GLENN PFENDT	8597273500	2899							325510						38.973815	-84.609617	116229865								A O SMITH CORP	006085815	NO		
2011	QUALITY ASSURANCE MANAGER	MICHAEL SIEROCKI	41042SMTHC8160H	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KENTON	KY	41042	A O SMITH CORP PROTECTIVE COATINGS DIV	8160 HOLTON DR	FLORENCE	KY		41042	YES	NO	NO	NO	GLENN PFENDT	8597273500	2899							325510						38.973815	-84.609617	116229865								A O SMITH CORP	006085815	NO		
