REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	
2007	EHS MANAGER	JOHN MORGAN	19804RCKLN538FI	AGILENT TECHNOLOGIES INC - NEWPORT SITE	538 FIRST STATE BLVD	NEWPORT	NEW CASTLE	DE	19804	AGILENT TECHNOLOGIES INC	JEANNINE FUDGE 2850 CENTERVILLE RD	WILMINGTON	DE		19808	YES	NO	NO	NO	ROBERT LYDUM	3026338065	2899							339111						39.713755	-75.633702	084963177								AGILENT TECHNOLOGIES INC.	084963177	NO	BOB_LYDUM@AGILENT.COM	
2003	EHS MANAGER	J. KEITH MORGAN	19808GLNTT2850C	AGILENT TECHNOLOGIES INC LITTLE FALLS SITE	2850 CENTERVILLE RD	WILMINGTON	NEW CASTLE	DE	19808	AGILENT TECHNOLOGIES INC LITTLE FALLS SITE	2850 CENTERVILLE RD	WILMINGTON	DE		19808	YES	NO	NO	NO	ROBERT LYDUM	3026338065	3826							334516						39.759412	-75.625938	084963177		DED984073163						AGILENT TECHNOLOGIES INC	084963177	NO		
2007	HSE MANAGER	STEPHEN FORBES	19804MDLLP305WA	AIR LIQUIDE - MEDAL	305 WATER ST	NEWPORT	NEW CASTLE	DE	19804	AIR LIQUIDE - MEDAL	305 WATER ST	NEWPORT	DE		19804	YES	NO	NO	NO	STEPHEN FORBES	3022252137	2824							326199						39.712045	-75.602817	557101490								AIR LIQUIDE AMERICA	606067130	NO	STEVE.FORBES@AIRLIQUIDE.COM	
2007	PLANT MANAGER	TED SALAZAR	19706CRDXCWRANG	AIR LIQUIDE INDUSTRIAL US LP	4442 WRANGLE HILL RD	DELAWARE CITY	NEW CASTLE	DE	19706	AIR LIQUIDE INDUSTRIAL US LP	PO BOX 272	DELAWARE CITY	DE		19706	YES	NO	NO	NO	PETE COLEMAN	7136248726	2813							325120						39.581088	-75.63846	064977424								AIR LIQUIDE INDUSTRIAL US  LP	064977424	NO	PETER.COLEMAN@AIRLIQUIDE.COM	
1992	WORLDWIDE MFG. MGR.	D. M. DONNELLY	19706KZCHM1385S	AKZO CHEMICALS INC.	1385 SCHOOLHOUSE RD.	DELAWARE CITY	NEW CASTLE	DE	19706	AKZO CHEMICALS INC.	1385 SCHOOLHOUSE RD.	DELAWARE CITY	DE		19706	YES	NO	NO		CHARLES KOWALEWSKI	3129067718	2869	2819						325000						39.58611	-75.64943	103743514		DED980551667		DE0000272				AKZO NOBEL INC.	062999347	NO		
2006	ENVIRONMENTAL MANAGER	TOM BRINSON	19951LLNFMPOBOX	ALLEN FAMILY FOODS	RT 5	HARBESON	SUSSEX	DE	19951	ALLEN FAMILY FOODS	PO BOX 63	HARBESON	DE		19951	YES	NO	NO	NO	TOM BRINSON	4109433989	2015							311615						38.719722	-75.289444											NO		
1999		ROBERT W. ALLEN	19973LLNPTSPORT	ALLEN PETROLEUM CORP	S PORTER ST	SEAFORD	SUSSEX	DE	19973	ALLEN PETROLEUM CORP	PO BOX 210	SEAFORD	DE		19973	YES	NO	NO		ROBERT W ALLEN	3026299428	5171							424710						38.63845	-75.617487	011023801		DER000003236								NO		
2007	CORPORATE ENVIRONMENTAL MANAGER	TOM BRINSON	19940LLNSMRTE13	ALLEN'S HATCHERY INC (ALLENS M ILLING)	RT 13 A	DELMAR	SUSSEX	DE	19940	ALLENS HATCHERY INC (ALLENS MILLING)	PO BOX 269	DELMAR	DE		19940	YES	NO	NO	NO	TOM BRINSON	4109433989	2048							311119						38.474444	-75.576111											NO		
1998	PRES.	L. STEPHEN BOWERS	19809LLYSR100LO	ALLOY SURFACES CO. INC.	100 LOCKE RD.	WILMINGTON	NEW CASTLE	DE	198093513	ALLOY SURFACES CO. INC.	121 N. COMMERCE DR.	CHESTER	PA		19014	YES	NO	NO		L. STEPHEN BOWERS	6104977979	3479	2899	3489					332995						39.751573	-75.501144	002341824		DED980827919						CHG GROUP INC.	874444284	NO		
1989	DIRECTOR OF QUALITY ASSURANCE	LARRY HUGHES	19933MRCNRRT18R	AMERICAN ORIGINAL CORP	RT 18 & RD 546	BRIDGEVILLE	SUSSEX	DE	19933	AMERICAN ORIGINAL CORP	RT 18 & RD 546	BRIDGEVILLE	DE		19933	YES	NO	NO		LYELLE CHAMPION	3026293081	2091							311711						38.703056	-75.615833	055180798				DE0021679						NO		
