REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	
2007	VICE PRESIDENT, ENVIRONMENTAL AFFAIRS	TODD HARBOUR	37714SBLDNHWY11	A & S BUILDING SYSTEMS LP	HWY 116	CARYVILLE	CAMPBELL	TN	37714	A & S BUILDING SYSTEMS LP	HWY 116	CARYVILLE	TN		37714	YES	NO	NO	NO	WILLIAM STEVENS	8654262141	3441							332312						36.257222	-84.184444	130234529								NCI GROUP INC	130234529	NO		
2007	OPERATIONS MANAGER	R STEVE SMITH	37764WRDYM151KY	A & W READY MIX CONCRETE PLT 1	151 KYKER FERRY RD	KODAK	SEVIER	TN	37764	A & W READY MIX CONCRETE	PO BOX 578	KODAK	TN		37764	YES	NO	NO	NO	R STEVE SMITH OR KENT WOODS	8659321101								327320						35.951402	-83.587031									A & W READY MIX CONCRETE		NO	NA	
2006	PLANT MANAGER	RICHARD BOWMAN	37110MGNTK204RE	A. O. SMITH ELECTRICAL PRODUCTS CO	204 RED RD	MC MINNVILLE	WARREN	TN	37110	A. O. SMITH ELECTRICAL PRODUCTS CO	204 RED RD	MC MINNVILLE	TN		37110	YES	NO	NO	NO	TOMMY YATES	9315063423	3621							335312						35.689902	-85.762437	101763878								A. O. SMITH ELECTRICAL PRODUCTS	117531954	NO		
2003	VICE PRESIDENT, GLOBAL HUMAN RESOURCES	MICHAEL R. CLINE	38063MGNTKSOUTH	A. O. SMITH ELECTRICAL PRODUCTS CO.	421 COMMERCE	RIPLEY	LAUDERDALE	TN	38063	A.O. SMITH ELECTRICAL PRODS. CO.	531 N. 4TH ST.	TIPP CITY	OH		45371	YES	NO	NO	NO	JONATHAN JACOBS	9376672431	3621							335312						35.721046	-89.556052	004235701		TND007031925		TNR002035				A. O. SMITH CORP	006085815	NO		
1999	PLANT MANAGER	RICHARD BOWMAN	38563SMTHL168BE	A. O. SMITH ELECTRICAL PRODUCTS CO.	168 BENTLEY HARRIS WAY	GORDONSVILLE	SMITH	TN	38563	A. O. SMITH ELECTRICAL PRODUCTS CO.	168 BENTLEY HARRIS WAY	GORDONSVILLE	TN		38563	YES	NO	NO		RICHARD BOWMAN	6156836200	3621							335312						36.189549	-85.949873			0000TNDCESQ						A. O. SMITH CORP.	006085815	NO		
2005	PLANT MANAGER	TEDD CARPENTER	37211CMLLY481AL	A. SCHULMAN INC NASHVILLE PLANT	481 ALLIED DR	NASHVILLE	DAVIDSON	TN	37211	A. SCHULMAN INC NASHVILLE PLANT	481 ALLIED DR	NASHVILLE	TN		37211	YES	NO	NO	NO	TEDD CARPENTER	6153333453	3087							325991						36.096324	-86.746272	826759011								A. SCHULMAN INC	006998413	NO		
1991	PLANT SUPERINTENDENT	FORREST CALL	38012MRCNR2000T	AAF ENVIRONMENTAL SNYDER GENERAL	2000 TAMM ST.	BROWNSVILLE	HAYWOOD	TN	38012	AAF ENVIRONMENTAL SNYDER GENERAL	2000 TAMM ST.	BROWNSVILLE	TN		38012	YES	NO	NO		TOM ESCUE	9017721123	3585							333415						35.604844	-89.241533	046053245		TND007009681						SNYDER GENERAL CORP.	006249791	NO		
1992	COMPLIANCE MGR.	MARK S. MCDAVID	37660STRHN500TI	AARBERG PRINTING INKS CO	500 TILTHAMMER DR	KINGSPORT	SULLIVAN	TN	37660	AARBERG PRINTING INKS CO	500 TILTHAMMER DR	KINGSPORT	TN		37660	YES	NO	NO		MARK MCDAVID	6152468841	2893							325910						36.544255	-82.585402	079016226		TND079016226								NO		
2007	GENERAL MANAGER	DAVE BOSTON	38001WSTNGRT1	ABB, INC. ALAMO	1128 S CAVALIER DR	ALAMO	CROCKETT	TN	38001	ABB, INC. ALAMO	1128 S CAVALIER DR	ALAMO	TN		38001	YES	NO	NO	NO	CYNTHIA HOWARD	7316965219	3612							335311						35.777778	-89.120833	609774435								ABB LTD.		NO	CYNTHIA.A.HOWARD@US.ABB.COM	
2007	V.P., & RESIDENT MANAGER	JACK CARTER	37309BWTRSROUTE	ABITIBIBOWATER CALHOUN OPERATIONS	5020 HWY 11 S	CALHOUN	MCMINN	TN	37309	ABITIBIBOWATER CALHOUN OPERATIONS	5020 HWY 11 S	CALHOUN	TN		37309	YES	NO	NO	NO	JACK W. O'GRADY	4233367591	2611	2621						322122						35.296389	-84.756944	152315107								ABITIBIBOWATER	243478828	NO	JACK.OGRADY@ABITIBIBOWATER.COM	
2007	OPERATION MANAGER	PATRICK RUSH	37406CCCST1911C	ACCU-CAST INC	1911 CRUTCHFIELD ST	CHATTANOOGA	HAMILTON	TN	37406	ACCU-CAST INC	1911 CRUTCHFIELD ST	CHATTANOOGA	TN		37406	YES	NO	NO	NO	PAT RUSH	4236224344	3324							331512						35.06213	-85.261192	794733352								GENERAL TECHNOLOGY INC. D.B.A. UNIVERSAL SPC	062488580	NO	PATR@EACCUCAST.COM	
