YEAR,TRI_FACILITY_ID,FRS_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,BIA_CODE,TRIBE,LATITUDE,LONGITUDE,FEDERAL_FACILITY,INDUSTRY_SECTOR_CODE,INDUSTRY_SECTOR,PRIMARY_SIC,SIC_2,SIC_3,SIC_4,SIC_5,SIC_6,PRIMARY_NAICS,NAICS_2,NAICS_3,NAICS_4,NAICS_5,NAICS_6,DOC_CTRL_NUM,CHEMICAL,CAS_#/COMPOUND_ID,SRS_ID,CLEAR_AIR_ACT_CHEMICAL,CLASSIFICATION,METAL,METAL_CATEGORY,CARCINOGEN,FORM_TYPE,UNIT_OF_MEASURE,5.1_FUGITIVE_AIR,5.2_STACK_AIR,5.3_WATER,5.4_UNDERGROUND,5.4.1_UNDERGROUND_CLASS_I,5.4.2_UNDERGROUND_CLASS_II-V,5.5.1_LANDFILLS,5.5.1A_RCRA_C_LANDFILLS,5.5.1B_OTHER_LANDFILLS,5.5.2_LAND_TREATMENT,5.5.3_SURFACE_IMPOUNDMENT,5.5.3A_RCRA_C_SURFACE_IMP.,5.5.3B_Other_SURFACE_IMP.,5.5.4_OTHER_DISPOSAL,ON-SITE_RELEASE_TOTAL,6.1_POTW-TRANSFERS_FOR_RELEASE,6.1_POTW-TRANSFERS_FOR_TREATM.,6.1_POTW-TOTAL_TRANSFERS,6.2_M10,6.2_M41,6.2_M62,6.2_M71,6.2_M81,6.2_M82,6.2_M72,6.2_M63,6.2_M66,6.2_M67,6.2_M64,6.2_M65,6.2_M73,6.2_M79,6.2_M90,6.2_M94,6.2_M99,OFF-SITE_RELEASE_TOTAL,6.2_M20,6.2_M24,6.2_M26,6.2_M28,6.2_M93,OFF-SITE_RECYCLED_TOTAL,6.2_M56,6.2_M92,OFF-SITE_RECOVERY_TOTAL,6.2_M40,6.2_M50,6.2_M54,6.2_M61,6.2_M69,6.2_M95,OFF-SITE_TREATED_TOTAL,TOTAL_RELEASES,8.1_RELEASES,8.1A_ON-SITE_CONTAINED_REL.,8.1B_ON-SITE_OTHER_RELEASES,8.1C_OFF-SITE_CONTAINED_REL.,8.1D_OFF-SITE_OTHER_RELEASES,8.2_ENERGY_RECOVERY_ON-SITE,8.3_ENERGY_RECOVERY_OFF-SITE,8.4_RECYCLING_ON-SITE, 8.5_RECYCLING_OFF-SITE,8.6_TREATMENT_ON-SITE,8.7_TREATMENT_OFF-SITE,PROD._WASTE_(8.1_THRU_8.7),8.8_ONE-TIME_RELEASE,PROD_RATIO_OR_ACTIVITY,8.9_PRODUCTION_RATIO,PARENT_COMPANY_NAME,PARENT_COMPANY_DB_NUMBER,
"2011","96915GMPWR322CA","110007501499","GUAM POWER AUTHORITY","322 CABRAS HWY RT 11","PITI","GUAM","GU","96915","","","13.3949","144.7071","NO","2211","Electric Utilities","","","","","","","221112","","","","","","1311210870541","SULFURIC ACID (1994 AND AFTER "ACID AEROSOLS" ONLY)","007664939","152405","NO","TRI","NO","0","NO","R","Pounds","0","237962","0","0","0","0","0","0","0","0","0","0","0","0","237962","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","237962","0","0","237962","0","0","0","0","0","0","0","0","237962","","",".99","NA",""
"2011","96915GMPWR322CA","110007501499","GUAM POWER AUTHORITY","322 CABRAS HWY RT 11","PITI","GUAM","GU","96915","","","13.3949","144.7071","NO","2211","Electric Utilities","","","","","","","221112","","","","","","1311210870527","DIOXIN AND DIOXIN-LIKE COMPOUNDS","N150","755371","YES","Dioxin","NO","0","NO","R","Grams","0",".0017181","0","0","0","0","0","0","0","0","0","0","0","0",".78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".78","0","0",".78","0","0","0","0","0","0","0","0",".78","","",".99","NA",""
"2011","96915GMPWR322CA","110007501499","GUAM POWER AUTHORITY","322 CABRAS HWY RT 11","PITI","GUAM","GU","96915","","","13.3949","144.7071","NO","2211","Electric Utilities","","","","","","","221112","","","","","","1311210871012","N-HEXANE","000110543","26740","YES","TRI","NO","0","NO","R","Pounds","71.62","1.15","0","0","0","0","0","0","0","0","0","0","0","0","72.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72.77","0","0","72.77","0","0","0","0","0","0","0","0","72.77","","",".99","NA",""
"2011","96913STHPC816NM","110025241147","SOUTH PACIFIC PETROLEUM CORP","1118 CABRAS HIGHWAY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209988373","ETHYLBENZENE","000100414","19406","YES","TRI","NO","0","NO","R","Pounds","1020","58","0","0","0","0","0","0","0","0","0","0","0","0","1078","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1078","0","0","1078","0","0","0","0","0","0","0","0","1078","","","1.1","SOUTH PACIFIC PETROLEUM CORP","855022534"
"2011","96915PHLDNCABRA","110043965448","IP&E HOLDINGS LLC/F3DOCK","CABRAS ISLAND","PITI","GUAM","GU","96915","","","13.462168","144.671059","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209826116","XYLENE (MIXED ISOMERS)","001330207","84970","YES","TRI","NO","0","NO","R","Pounds","205","0","0","0","0","0","0","0","0","0","0","0","0","0","205","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","205","0","0","0","0","205","205","0","0","205","0","0","0","0","0","0","0","0","205","0","","1.1","NA",""
"2011","96912TNGSSPARCE","110008062256","TANGUISSON POWER PLANT","PARCEL 1, ESTATE 103","DEDEDO","GUAM","GU","96929","","","13.541741","144.807727","NO","2211","Electric Utilities","","","","","","","221112","","","","","","1311209175823","BENZO(G,H,I)PERYLENE","000191242","40576","YES","PBT","NO","0","YES","R","Pounds","0",".0303",".00123","0","0","0","0","0","0","0","0","0","0","0",".03153","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".385","0",".385","0",".008","0","0","0","0",".008",".03153","0","0",".03153","0","0","0",".385","0","0",".00308",".008",".42761","","",".74","NA","NA"
"2011","96913STHPC816NM","110025241147","SOUTH PACIFIC PETROLEUM CORP","1118 CABRAS HIGHWAY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209988361","BENZENE","000071432","4754","YES","TRI","NO","0","YES","R","Pounds","1080","180","0","0","0","0","0","0","0","0","0","0","0","0","1260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1260","0","0","1260","0","0","0","0","0","0","0","0","1260","","","1.1","SOUTH PACIFIC PETROLEUM CORP","855022534"
"2011","96928SHLLGTENJO","110040841462","TRISTAR TERMINALS GUAM INC","AGAT TERMINAL, RT 2A SANTA RITA INDUSTRIAL DRIVE","AGAT","GUAM","GU","96928","","","13.419802","144.690156","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209449949","PROPYLENE","000115071","29009","NO","TRI","NO","0","NO","R","Pounds","17","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","17","0","0","0","0","0","0","0","0","17","","","","NA",""
"2011","96925MBLLC1189C","110010037717","MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL)","1189 CABRAS HWY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209503364","TOLUENE","000108883","25452","YES","TRI","NO","0","NO","R","Pounds","25.68","1484.12",".04","0","0","0","0","0","0","0","0","0","0","0","1509.84","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","446.71","0","446.71","0","0","0","0","0","0","0","1509.84","0","0","1509.84","0","0","0","446.71","0","0","0","0","1956.55","","",".46","EXXON MOBIL CORP","001213214"
"2011","96915GMPWR322CA","110007501499","GUAM POWER AUTHORITY","322 CABRAS HWY RT 11","PITI","GUAM","GU","96915","","","13.3949","144.7071","NO","2211","Electric Utilities","","","","","","","221112","","","","","","1311210870515","BENZO(G,H,I)PERYLENE","000191242","40576","YES","PBT","NO","0","YES","R","Pounds","0",".15","0","0","0","0","0","0","0","0","0","0","0","0",".15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".15","0","0",".15","0","0","0","0","0","0","0","0",".15","","",".99","NA",""
"2011","96915PHLDNCABRA","110043965448","IP&E HOLDINGS LLC/F3DOCK","CABRAS ISLAND","PITI","GUAM","GU","96915","","","13.462168","144.671059","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209858822","N-HEXANE","000110543","26740","YES","TRI","NO","0","NO","R","Pounds","56","0","0","0","0","0","0","0","0","0","0","0","0","0","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","10","56","0","0","56","0","0","0","0","0","0","0","0","56","0","","1.1","NA",""
"2011","96915GMPWR322CA","110007501499","GUAM POWER AUTHORITY","322 CABRAS HWY RT 11","PITI","GUAM","GU","96915","","","13.3949","144.7071","NO","2211","Electric Utilities","","","","","","","221112","","","","","","1311210870503","1,2,4-TRIMETHYLBENZENE","000095636","16261","NO","TRI","NO","0","NO","R","Pounds","72","1.15","0","0","0","0","0","0","0","0","0","0","0","0","73.15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.15","0","0","73.15","0","0","0","0","0","0","0","0","73.15","","",".99","NA",""
"2011","96925MBLLC1189C","110010037717","MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL)","1189 CABRAS HWY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209503325","MERCURY COMPOUNDS","N458","650028","YES","PBT","YES","1","NO","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","20","","",".46","EXXON MOBIL CORP","001213214"
"2011","96915PHLDNCABRA","110043965448","IP&E HOLDINGS LLC/F3DOCK","CABRAS ISLAND","PITI","GUAM","GU","96915","","","13.462168","144.671059","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209826066","1,2,4-TRIMETHYLBENZENE","000095636","16261","NO","TRI","NO","0","NO","R","Pounds","94","1","0","0","0","0","0","0","0","0","0","0","0","0","95","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","10","95","0","0","95","0","0","0","0","0","0","0","0","95","0","","1.1","NA",""
"2011","96913STHPC816NM","110025241147","SOUTH PACIFIC PETROLEUM CORP","1118 CABRAS HIGHWAY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209988397","XYLENE (MIXED ISOMERS)","001330207","84970","YES","TRI","NO","0","NO","R","Pounds","3053","50","0","0","0","0","0","0","0","0","0","0","0","0","3103","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3103","0","0","3103","0","0","0","0","0","0","0","0","3103","","","1.1","SOUTH PACIFIC PETROLEUM CORP","855022534"
"2011","96925MBLLC1189C","110010037717","MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL)","1189 CABRAS HWY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209503287","1,2,4-TRIMETHYLBENZENE","000095636","16261","NO","TRI","NO","0","NO","R","Pounds","2.03","86.68","0","0","0","0","0","0","0","0","0","0","0","0","88.71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","56","0","56","0","0","0","0","0","0","0","88.71","0","0","88.71","0","0","0","56","0","0","0","0","144.71","","",".46","EXXON MOBIL CORP","001213214"
"2011","9691WTNJVSLT19T","110060259241","TENJO VISTA POWER PLANT","LOT 19 TRACT 2411, OFF ROUTE 2A, TENJO VISTA","PITI","GUAM","GU","96915","","","13.416907","144.687034","NO","2211","Electric Utilities","","","","","","","221112","","","","","","1311211836921","NAPHTHALENE","000091203","13326","YES","TRI","NO","0","NO","R","Pounds","3.74","5.87","0","0","0","0","0","0","0","0","0","0","0","0","9.61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.61","0","0","9.61","0","0","0","0","0","0","0","0","9.61","","","","NA",""
"2011","9691WFRMST49NRT","110055500168","FOREMOST FOODS, INC","490 NORTH MARINE CORPS DRIVE","TAMUNING","GUAM","GU","96913","","","13.501887","144.80179","NO","311","Food","","","","","","","311511","","","","","","1311210987246","NITRIC ACID","007697372","152686","NO","TRI","NO","0","NO","R","Pounds","5","5","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","10","0","0","0","0","0","0","0","0","10","","","1","NA","NA"
"2011","96925MBLLC1189C","110010037717","MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL)","1189 CABRAS HWY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209503337","N-HEXANE","000110543","26740","YES","TRI","NO","0","NO","R","Pounds","4.35","332.21","0","0","0","0","0","0","0","0","0","0","0","0","336.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22.4","0","22.4","0","0","0","0","0","0","0","336.56","0","0","336.56","0","0","0","22.4","0","0","0","0","358.96","","",".46","EXXON MOBIL CORP","001213214"
"2011","96913STHPC816NM","110025241147","SOUTH PACIFIC PETROLEUM CORP","1118 CABRAS HIGHWAY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311208947681","N-HEXANE","000110543","26740","YES","TRI","NO","0","NO","R","Pounds","900","156","0","0","0","0","0","0","0","0","0","0","0","0","1056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1056","0","0","1056","0","0","0","0","0","0","0","0","1056","","","1.1","SOUTH PACIFIC PETROLEUM CORP","855022534"
"2011","96928SHLLGTENJO","110040841462","TRISTAR TERMINALS GUAM INC","AGAT TERMINAL, RT 2A SANTA RITA INDUSTRIAL DRIVE","AGAT","GUAM","GU","96928","","","13.419802","144.690156","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209449925","NAPHTHALENE","000091203","13326","YES","TRI","NO","0","NO","R","Pounds","1","11","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","12","0","0","0","0","0","0","0","0","12","","",".7","NA",""
"2011","96913STHPC816NM","110025241147","SOUTH PACIFIC PETROLEUM CORP","1118 CABRAS HIGHWAY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311208947667","CUMENE","000098828","18309","YES","TRI","NO","0","NO","R","Pounds","6","1","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","0","0","0","0","0","0","0","0","7","","","1.1","SOUTH PACIFIC PETROLEUM CORP","855022534"
"2011","96915GMPWR322CA","110007501499","GUAM POWER AUTHORITY","322 CABRAS HWY RT 11","PITI","GUAM","GU","96915","","","13.3949","144.7071","NO","2211","Electric Utilities","","","","","","","221112","","","","","","1311210871024","NAPHTHALENE","000091203","13326","YES","TRI","NO","0","NO","R","Pounds","16.46","73.34","0","0","0","0","0","0","0","0","0","0","0","0","89.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.8","0","0","89.8","0","0","0","0","0","0","0","0","89.8","","",".99","NA",""
"2011","96913HWNRC1402R","110012701031","HAWAIIAN ROCK PRODUCTS-GUAM","1402 RT 15","MANGILAO","GUAM","GU","96913","","","13.5175","144.8894","NO","327","Nonmetallic Mineral Product","","","","","","","327320","","","","","","1311209370598","POLYCYCLIC AROMATIC COMPOUNDS","N590","649749","YES","PBT","NO","0","YES","R","Pounds","1.31",".35","0","0","0","0","0","0","0","0","0","0","2.06","0","3.72","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.72","0","0","3.72","0","0","0","0","0","0","0","0","3.72","","",".55","MCC DEVELOPMENT CORP","838030492"
"2011","96925MBLLC1189C","110010037717","MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL)","1189 CABRAS HWY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209503301","BENZO(G,H,I)PERYLENE","000191242","40576","YES","PBT","NO","0","YES","R","Pounds","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".01","0",".01","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".01","0","0","0","0",".01","","",".46","EXXON MOBIL CORP","001213214"
"2011","96925MBLLC1189C","110010037717","MOBIL OIL GUAM INC (CABRAS ISLAND TERMINAL)","1189 CABRAS HWY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311209503352","POLYCYCLIC AROMATIC COMPOUNDS","N590","649749","YES","PBT","NO","0","YES","R","Pounds","0",".027","0","0","0","0","0","0","0","0","0","0","0","0",".027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",".04","0",".04","0","0","0","0","0","0","0",".027","0","0",".027","0","0","0",".04","0","0","0","0",".067","","",".46","EXXON MOBIL CORP","001213214"
"2011","96913STHPC816NM","110025241147","SOUTH PACIFIC PETROLEUM CORP","1118 CABRAS HIGHWAY","PITI","GUAM","GU","96925","","","13.464108","144.663331","NO","4247","Petroleum Bulk Terminals","","","","","","","424710","","","","","","1311208947642","1,2,4-TRIMETHYLBENZENE","000095636","16261","NO","TRI","NO","0","NO","R","Pounds","1509","5","0","0","0","0","0","0","0","0","0","0","0","0","1514","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1514","0","0","1514","0","0","0","0","0","0","0","0","1514","","","1.1","SOUTH PACIFIC PETROLEUM CORP","855022534"
