REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011	CHIEF EXECUTIVE OFFICER	KIM VANDERMEULEN	04364LTRNT3BSUM	ALTERNATIVE MANUFACTURING INC	30 SUMMER ST SUITE B	WINTHROP	KENNEBEC	ME	04364	ALTERNATIVE MANUFACTURING INC	30 SUMMER ST SUITE B	WINTHROP	ME		04364	YES	NO	NO	NO	KIM VANDERMEULEN	2073779377	3672							334418						44.30881	-69.974975	168543952								ELECTRONIC SERVICES CORP OF AMERICA	168543952	NO	KVANDERMEULEN@ALTMFG.COM	
2011	GENERAL MANAGER	ROBERT FAIREY	04005VXTNT69LAN	AVX TANTALUM CORP	401 HILL ST	BIDDEFORD	YORK	ME	040054335	AVX TANTALUM CORP	401 HILL ST	BIDDEFORD	ME		04005-4335	YES	NO	NO	NO	ROBERT FAIREY	2072825111	3675							334414						43.46755	-70.47764	800194482								AVX CORP	058895921	NO	RFAIREY@AVXTANTALUM.COM	
2011	PLANT MANAGER	FRANK CASTANHINHA	04103BRNHM1BEAN	B&G FOODS NORTH AMERICA INC (BURNHAM & MORRILL CO DIVISION)	1 BEANPOT CIR	PORTLAND	CUMBERLAND	ME	04103	B&G FOODS NORTH AMERICA INC (BURNHAM & MORRILL CO DIVISION)	1 BEANPOT CIR	PORTLAND	ME		04103	YES	NO	NO	NO	SCOTT LERNER	9736306406	2033							311422	311612					43.678333	-70.254722	068049936								B&G FOODS INC	009269445	NO	SLERNER@BGFOODS.COM	
2011	PLANT MANAGER	FRANK CASTANHINHA	04103BRNHM1BEAN	B&G FOODS NORTH AMERICA INC (BURNHAM & MORRILL CO DIVISION)	1 BEANPOT CIR	PORTLAND	CUMBERLAND	ME	04103	B&G FOODS NORTH AMERICA INC (BURNHAM & MORRILL CO DIVISION)	1 BEANPOT CIR	PORTLAND	ME		04103	YES	NO	NO	NO	SCOTT LERNER	9736306406	2033							311422	311612					43.678333	-70.254722	068049936								B&G FOODS INC	009269445	NO	SLERNER@BGFOODS.COM	
2011	ENVIRONMENTAL MANAGER	STEPHANIE CARVER	04530BTHRN700WA	BATH IRON WORKS	700 WASHINGTON ST	BATH	SAGADAHOC	ME	04530	BATH IRON WORKS	700 WASHINGTON ST	BATH	ME		04530	YES	NO	NO	NO	STEPHANIE CARVER	2074421274	3731							336611						43.91	-69.815	045953718								GENERAL DYNAMICS CORP	001381284	NO	STEPHANIE.CARVER@BIW.COM	
2011	ENVIRONMENTAL MANAGER	STEPHANIE CARVER	04530BTHRN700WA	BATH IRON WORKS	700 WASHINGTON ST	BATH	SAGADAHOC	ME	04530	BATH IRON WORKS	700 WASHINGTON ST	BATH	ME		04530	YES	NO	NO	NO	STEPHANIE CARVER	2074421274	3731							336611						43.91	-69.815	045953718								GENERAL DYNAMICS CORP	001381284	NO	STEPHANIE.CARVER@BIW.COM	
2011	ENVIRONMENTAL MANAGER	STEPHANIE CARVER	04530BTHRN700WA	BATH IRON WORKS	700 WASHINGTON ST	BATH	SAGADAHOC	ME	04530	BATH IRON WORKS	700 WASHINGTON ST	BATH	ME		04530	YES	NO	NO	NO	STEPHANIE CARVER	2074421274	3731							336611						43.91	-69.815	045953718								GENERAL DYNAMICS CORP	001381284	NO	STEPHANIE.CARVER@BIW.COM	
2011	ENVIRONMENTAL MANAGER	STEPHANIE CARVER	04530BTHRN700WA	BATH IRON WORKS	700 WASHINGTON ST	BATH	SAGADAHOC	ME	04530	BATH IRON WORKS	700 WASHINGTON ST	BATH	ME		04530	YES	NO	NO	NO	STEPHANIE CARVER	2074421274	3731							336611						43.91	-69.815	045953718								GENERAL DYNAMICS CORP	001381284	NO	STEPHANIE.CARVER@BIW.COM	
2011	ENVIRONMENTAL MANAGER	STEPHANIE CARVER	04011BTHRNROUTE	BATH IRON WORKS	RT ONE OLD BATH RD	BRUNSWICK	CUMBERLAND	ME	04011	BATH IRON WORKS	700 WASHINGTON ST	BATH	ME		04530	YES	NO	NO	NO	STEPHANIE CARVER	2074421274	3731							336611						43.914614	-69.884532	045953718								GENERAL DYNAMICS CORP	001381284	NO	STEPHANIE.CARVER@BIW.COM	
2011	ENVIRONMENTAL MANAGER	STEPHANIE CARVER	04011BTHRNROUTE	BATH IRON WORKS	RT ONE OLD BATH RD	BRUNSWICK	CUMBERLAND	ME	04011	BATH IRON WORKS	700 WASHINGTON ST	BATH	ME		04530	YES	NO	NO	NO	STEPHANIE CARVER	2074421274	3731							336611						43.914614	-69.884532	045953718								GENERAL DYNAMICS CORP	001381284	NO	STEPHANIE.CARVER@BIW.COM	
2011	ENVIRONMENTAL MANAGER	STEPHANIE CARVER	04530BTHRN700WA	BATH IRON WORKS	700 WASHINGTON ST	BATH	SAGADAHOC	ME	04530	BATH IRON WORKS	700 WASHINGTON ST	BATH	ME		04530	YES	NO	NO	NO	STEPHANIE CARVER	2074421274	3731							336611						43.91	-69.815	045953718								GENERAL DYNAMICS CORP	001381284	NO	STEPHANIE.CARVER@BIW.COM	
