REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011	PLANT MANAGER	GEOFFREY STIDHAM	19014CSTMC50MIL	3M ASTON	50 MILTON DR	CHESTER TOWNSHIP	DELAWARE	PA	19013	3M ASTON	50 MILTON DR	ASTON	PA		19014	YES	NO	NO	NO	GEOFFERY STIDHAM	6104977002	2821							325211						39.855827	-75.411858	022473735								3M CO	006173082	NO	GLSTIDHAM@MMM.COM	
2011	GENERAL MANAGER	MARK ALBRIGHT	155524GYSN23IND	4 GUYS INC	230 INDUSTRIAL PARK RD	MEYERSDALE	SOMERSET	PA	15552	4 GUYS INC	230 INDUSTRIAL PARK RD	MEYERSDALE	PA		15552	YES	NO	NO	NO	MARK ALBRIGHT	8146348373	3312							336211						39.799552	-79.041428											NO	ALBRIGHT@4GUYSFIRE.COM	
2011	GENERAL MANAGER / VICE PRESIDENT	JEFFEREY TOMHAVE	16161MSPCL100FI	A & M SPECIALTIES INC	100 FIRST ST	WHEATLAND	MERCER	PA	16161	A & M SPECIALTIES INC	100 FIRST ST	WHEATLAND	PA		16161	YES	NO	NO	NO	JEFFREY TOMHAVE	7246622750	3462							332710						41.197	-80.49935	948576319								MERCER FORGE CORP	555451012	NO	JEFF.TOMHAVE@NEENAHENTERPRISES.COM	
2011	GENERAL MANAGER / VICE PRESIDENT	JEFFEREY TOMHAVE	16161MSPCL100FI	A & M SPECIALTIES INC	100 FIRST ST	WHEATLAND	MERCER	PA	16161	A & M SPECIALTIES INC	100 FIRST ST	WHEATLAND	PA		16161	YES	NO	NO	NO	JEFFREY TOMHAVE	7246622750	3462							332710						41.197	-80.49935	948576319								MERCER FORGE CORP	555451012	NO	JEFF.TOMHAVE@NEENAHENTERPRISES.COM	
2011	GENERAL MANAGER / VICE PRESIDENT	JEFFEREY TOMHAVE	16161MSPCL100FI	A & M SPECIALTIES INC	100 FIRST ST	WHEATLAND	MERCER	PA	16161	A & M SPECIALTIES INC	100 FIRST ST	WHEATLAND	PA		16161	YES	NO	NO	NO	JEFFREY TOMHAVE	7246622750	3462							332710						41.197	-80.49935	948576319								MERCER FORGE CORP	555451012	NO	JEFF.TOMHAVE@NEENAHENTERPRISES.COM	
2011	SR MANAGER, CORPORATE EHS	RHONDA VETE	16682GNRLRPOBOX	A P GREEN REFRACTORIES INC SPROUL PA  PLANT	2926 QUARRY RD	CLAYSBURG	BLAIR	PA	16625	A P GREEN REFRACTORIES INC SPROUL PA  PLANT	400 FAIRWAY DR	MOON TOWNSHIP	PA		15108	YES	NO	NO	NO	DOUG HILEMAN	8142392111	3255							327124						40.270833	-78.465	792521445								GLOBAL INDUSTRIES TECHNOLOGIES INC	792521445	NO	DHILEMAN@ANHREFRACTORIES.COM	
2011	PRESIDENT	ROGER NIELSEN	19134BBYCL400ET	ABBEY COLOR INC	400 E TIOGA ST	PHILADELPHIA	PHILADELPHIA	PA	19134	ABBEY COLOR INC	400 E TIOGA ST	PHILADELPHIA	PA		19134	YES	NO	NO	NO	PETER HUGHES	2157399960	2865	2891						325132	325520	322299				40.00236	-75.12179	069006658										NO	PHUGHES@ABBEYCOMPANIES.COM	
2011	PRESIDENT	ROGER NIELSEN	19134BBYCL400ET	ABBEY COLOR INC	400 E TIOGA ST	PHILADELPHIA	PHILADELPHIA	PA	19134	ABBEY COLOR INC	400 E TIOGA ST	PHILADELPHIA	PA		19134	YES	NO	NO	NO	PETER HUGHES	2157399960	2865	2891						325132	325520	322299				40.00236	-75.12179	069006658										NO	PHUGHES@ABBEYCOMPANIES.COM	
2011	PLANT MANAGER	BRIAN SHAFFER	18447BCWRR141EL	ABC/WARREN/AMPLEX SUPERABRASIVES	1401 E LACKAWANNA ST	OLYPHANT	LACKAWANNA	PA	18447	ABC/WARREN/AMPLEX SUPERABRASIVES	1401 E LACKAWANNA ST	OLYPHANT	PA		18447	YES	NO	NO	NO	BRIAN SHAFFER	5703833261								327910						41.45639	-75.58536	070804948								SAINT-GOBAIN CORP	879702090	NO	BRIAN.C.SHAFFER@SAINT-GOBAIN.COM	
2011	PRODUCT DEVELOMENT MANAGER	PRISCILLA MACLEAN	17310HRCLTABERD	ABERDEEN ROAD CO	105 E SINKING SPRING LN	EMIGSVILLE	YORK	PA	173180435	ABERDEEN ROAD CO	PO BOX 435	EMIGSVILLE	PA		173180435	YES	NO	NO	NO	SHARON SAHD	7177641192	2879	2295						313320						40.015787	-76.726143	093491335		PAD050503036						ABERDEEN ROAD CO	093491335	NO	SSAHD@HERCULITE.COM	
2011	PRODUCT DEVELOMENT MANAGER	PRISCILLA MACLEAN	17310HRCLTABERD	ABERDEEN ROAD CO	105 E SINKING SPRING LN	EMIGSVILLE	YORK	PA	173180435	ABERDEEN ROAD CO	PO BOX 435	EMIGSVILLE	PA		173180435	YES	NO	NO	NO	SHARON SAHD	7177641192	2879	2295						313320						40.015787	-76.726143	093491335		PAD050503036						ABERDEEN ROAD CO	093491335	NO	SSAHD@HERCULITE.COM	
