REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	
2007	PLANT MANAGER	DENNIS MCKERNAN	50010MNNST900DA	3M CO - AMES	900 DAYTON AVE	AMES	STORY	IA	500106493	3M CO - AMES	900 DAYTON AVE	AMES	IA		50010-6493	YES	NO	NO	NO	DENNIS MCKERNAN	5152321184	3291							327910						42.029942	-93.581487	089979058								3M CO	006173082	NO	DJMCKERNAN1@MMM.COM	
2007	PLANT MANAGER	GREG COUVES	50138MNNST3406E	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	MARION	IA	50138	3M CO - KNOXVILLE	3406 E PLEASANT	KNOXVILLE	IA		50138	YES	NO	NO	NO	GREG COUVES	6418285500	2672	2891						322222						41.320607	-93.065893	075846824								3M CO	006173082	NO	GCOUVES@MMM.COM	
2006	GENERAL MANAGER	ALSTON PENFOLD	50461TZDRY1WALL	A TO Z DRYING INC	1000 WALLACE RD	OSAGE	MITCHELL	IA	50461	A TO Z DRYING INC	PO BOX 180	OSAGE	IA		50461	YES	NO	NO	NO	ALSTON PENFOLD	6417325805								325998						43.275636	-92.809659											NO		
2007	VICE PRESIDENT OF OPERATIONS	ERIC KADOW	50171RNHRTHWY63	A-1 FIBERGLASS	530 N FRONT ST	MONTEZUMA	POWESHIEK	IA	50171	A-1 FIBERGLASS	4495 S GUNPOWDER CIR	HASTINGS	NE		68901	YES	NO	NO	NO	BRIAN PERKINS	4024630180	3089							326199						41.590786	-92.531568											NO	BPERKINS@A1FIBERGLASS.COM	
2007	CHIEF SCIENCE OFFICER	STEPHEN ASHMEAD	50598PRCSS515WE	A.I. PROCESSORS	515 W BROAD ST	WHITTEMORE	KOSSUTH	IA	50598	A.I. PROCESSORS	515 W BROAD ST	WHITTEMORE	IA		50598	YES	NO	NO	NO	CRAIG BROWNELL	5158842472	2048							339999						43.063728	-94.423597									ALBION INTERNATIONAL INC.	624857249	NO	CBROWNELL@ALBIONMINERALS.COM	
2003	MANAGER, METAL FRAME FABRICATION	DOUG SCHROEDER	50401DVDMN16001	AADG INC  CURRIES DIV 12TH STREET NE FACILITY	1600 12TH ST NE	MASON CITY	CERRO GORDO	IA	50401	AADG INC CURRIES DIV	PO BOX 1648	MASON CITY	IA		50401	YES	NO	NO	NO	MARK EVERS	6414231334	3442							332321						43.163017	-93.173488			IAD005307459						ASSA ABLOY INC	000047173	NO		
2007	FRAME PROFIT CENTER MANAGER	JAY HAIN	50401CRRSC16001	AADG INC CURRIES DIV 12TH ST NW FACILITY	1500 12TH ST NW	MASON CITY	CERRO GORDO	IA	50401	CURRIES DIV OF AADG INC	PO BOX 1648	MASON CITY	IA		50401	YES	NO	NO	NO	MARK EVERS	6414231334	3442							332321						43.16503	-93.22786									ASSA ABLOY INC	556317287	NO	MARK.EVERS@DOORGROUP.COM	
2007	DOOR PLANT PROFIT CENTER MANAGER	BRAD WILLIAMS	50401CRRSC2519T	AADG INC CURRIES DIV 9TH ST FACILITY	251 9TH ST SE	MASON CITY	CERRO GORDO	IA	50401	AADG INC CURRIES DIV	PO BOX 1648	MASON CITY	IA		50401	YES	NO	NO	NO	MARK EVERS	6414231334	3442							332321						43.142743	-93.196207									ASSA ABLOY INC	556317287	NO	MARK.EVERS@DOORGROUP.COM	
1987	PRESIDENT, AALFS MANUFACTURING, INC.	JOHN W. AALFS	51111LFSMN2501M	AALFS MANUFACTURING INC LAUNDRY COMPLEX	2501 MURRAY RD.	SIOUX CITY	WOODBURY	IA	51111	AALFS MANUFACTURING INC LAUNDRY COMPLEX	2501 MURRAY RD.	SIOUX CITY	IA		51111	YES	NO	NO		J. ANDREW RODAWIG	7122550902	2329													42.427053	-96.380727	007263445								AALFS MANUFACTURING INC	007263445	NO		
1989	PLANT MANAGER	ANTHONY J. ROTONDI	52556CCCHN200N6	ACCO-CHAIN & LIFTING PRODS. DIV.	200 N. 6TH ST.	FAIRFIELD	JEFFERSON	IA	52556	ACCO-CHAIN & LIFTING PRODS. DIV.	200 N. 6TH ST.	FAIRFIELD	IA		52556	YES	NO	NO		DONALD D. BROWN	5154725171	3536							333923						41.007521	-91.971455									FKI INDS. INC.	001456953	NO		
