REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	20-NOV-13	
2012	PRESIDENT	PAUL G. CLARK	43832NC   100EN	31 INC	100 ENTERPRISE DR	NEWCOMERSTOWN	TUSCARAWAS	OH	43832	31 INC	PO BOX 278	NEWCOMERSTOWN	OH		43832	NO	NO	NO	NO	NA	NA	3069							326299						40.28028	-81.565	054663372		OHD054663372								NO		
2012	PLANT MANAGER	MARGARET MARREN	44256RTNCR1030L	3M CO - MEDINA	1030 LAKE RD	MEDINA	MEDINA	OH	44256	3M CO - MEDINA	1030 LAKE RD	MEDINA	OH		44256	YES	NO	NO	NO	MARGARET MARREN	3307648840	2672							322222						41.113378	-81.894498	131822624								3M CO	006173082	NO	MAMARREN@MMM.COM	
2012	PLANT MANAGER	JOHN AKEY	44035NYLNG1301L	3M ELYRIA	1301 LOWELL ST	ELYRIA	LORAIN	OH	440354864	3M ELYRIA	1301 LOWELL ST	ELYRIA	OH		44035-4864	YES	NO	NO	NO	JOHN AKEY	4403236161	3089							325211						41.375556	-82.138889	092628510								3M CO	006173082	NO	JCAKEY@MMM.COM	
2012	DIRECTOR, OPERATION	DONALD PETERSON	44646RNC  400NA	A R E ACCESSORIES LLC	400 NAVE RD SE	MASSILLON	STARK	OH	44646	A R E ACCESSORIES LLC	PO BOX 1100	MASSILLON	OH		44648	YES	NO	NO	NO	DONALD PETERSON	3308307800	3792							336214						40.76528	-81.51527	080381734								ARE ACCESSORIES LLC		NO	DPETERSON@4ARE.COM	
2012	BUSINESS UNIT LEADER AMERICAS CPC	ANTHONY MAGHES	4472WSCHLM8562P	A SCHULMAN COLOR CENTER	8562 PORT JACKSON AVE NW	NORTH CANTON	STARK	OH	44720	A SCHULMAN COLOR CENTER	8562 PORT JACKSON AVE NW	NORTH CANTON	OH		44720	YES	NO	NO	NO	AJ MAGHES	3304984840								325991						40.9042	-81.44603									A SCHULMAN INC	006998413	NO	AJ_MAGHES@US.ASCHULMAN.COM	
2012	EHS REGULATORY MANAGER	SUSAN FIZER	44811SCHLM350NB	A SCHULMAN INC	350 N BUCKEYE ST	BELLEVUE	HURON	OH	44811	A SCHULMAN INC	350 N BUCKEYE ST	BELLEVUE	OH		44811	YES	NO	NO	NO	SUSAN FIZER	3306687343	3087							325991						41.279323	-82.834574	045714730								A SCHULMAN INC	006998413	NO	SUSAN_FIZER@US.ASCHULMAN.COM	
2012	VP PROCESS	MOJIE MIRSALIMI	44111BRTPL3000W	A-BRITE PLATING CO	3000 W 121 ST	CLEVELAND	CUYAHOGA	OH	44111	A-BRITE PLATING CO	3000 W 121 ST	CLEVELAND	OH		44111	YES	NO	NO	NO	HAL  LEITCH	2162522995	3471							332813						41.470041	-81.772979	004199592										NO	HLEITCH@ABRITEPLATING.COM	
2012	OPERATIONS MANAGER	SCOTT WARNER	43402RMTCN11HAS	A-GAS REMTEC	1100 HASKINS RD	BOWLING GREEN	WOOD	OH	43402	A-GAS REMTEC	1100 HASKINS RD	BOWLING GREEN	OH		43402	YES	NO	NO	NO	SCOTT WARNER	4198678990								423930	339999					41.388371	-83.669671	020830910								REMTEC INTERNATIONAL		NO	SCOTT.WARNER@REMTEC.NET	
2012	CFO	GARY CRIDER	43506CHLLN720EP	A-STAMP INDUSTRIES	633 COMMERCE DR	BRYAN	WILLIAMS	OH	43506	A-STAMP INDUSTRIES	633 COMMERCE DR	BRYAN	OH		43506	YES	NO	NO	NO	KEVIN BOCK	4192675240	3582							336370						41.466995	-84.522172	058071882		OHD005035084						ALEX PRODUCTS INC	068113703	NO	KEVIN.BOCK@ALEXPRODUCTS.CC	
2012	CHAIRMAN	RANDY WENDEL	45885PSTMR1100M	AAP ST MARYS CORP	1100 MCKINLEY RD	SAINT MARYS	AUGLAIZE	OH	45885	AAP ST MARYS CORP	1100 MCKINLEY RD	SAINT MARYS	OH		45885	YES	NO	NO	NO	DAN DANAHER	4193947840	3363							336399						40.553807	-84.375816	185385574								HITACHI METALS OF AMERICA LTD	070572482	NO	DAN.DANAHER@HITMET.COM	
