REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	
2007	PLANT MANAGER	KEVIN ADAMS	88130HGHPL1827S	ABENGOA BIOENERGY CORP.	1827 S INDUSTRIAL DR	PORTALES	ROOSEVELT	NM	88130	ABENGOA BIOENERGY CORP.	1827 S INDUSTRIAL DR	PORTALES	NM		88130	YES	NO	NO	NO	FLETCHER ALDRICH	5053563555	2869							325193						34.178889	-103.36944	782991970								ABENGOA BIOENERGY CORP	021366125	NO	FLETCHER.ALDRICH@BIOENERGY.ABENGOA.COM	
2007	PRESIDENT	KEITH PHILIPPI	87109CDMYC6905W	ACADEMY CORP REFINERY	6905 WASHINGTON NE	ALBUQUERQUE	BERNALILLO	NM	871094418	ACADEMY CORP	5520 MIDWAY PARK PL NE	ALBUQUERQUE	NM		87109	YES	NO	NO	NO	KEITH PHILIPPI	5053451805	3341							331492						35.156405	-106.597207	097970065										NO	KPHILIPPI@ACADEMYCORP.COM	
2006	PRESIDENT	KEITH PHILIPPI	87109CDMYP5531M	ACADEMY PRECISION MATERIALS	5531 MIDWAY PARK PL NE	ALBUQUERQUE	BERNALILLO	NM	87109	ACADEMY CORP	5520 MIDWAY PARK PL NE	ALBUQUERQUE	NM		87109	YES	NO	NO	NO	KEITH PHILIPPI	5053453451	3399	3356	3369					331491						35.141976	-106.603983	097970065								ACADEMY CORP.	097970065	NO		
2007	DIRECTOR OF OPERATIONS	BERNIE WILIMITIS	87106DVNTS56UNI	ADVENT SOLAR INC	5600 UNIVERSITY SE	ALBUQUERQUE	BERNALILLO	NM	87106	ADVENT SOLAR INC	5600 UNIVERSITY SE	ALBUQUERQUE	NM		87106	YES	NO	NO	NO	STEVE GUNTHER	5059389664								334413						34.99727	-106.621959	132339826								ADVENT SOLAR INC.	132339826	NO	SGUNTHER@ADVENTSOLAR.COM	
1989	PRESIDENT	LELAND T. TAYLOR	87110GRNCS701MA	AGRONICS INC	701 MADISON NE	ALBUQUERQUE	BERNALILLO	NM	87110	AGRONICS INC	701 MADISON NE	ALBUQUERQUE	NM		87110	YES	NO	NO		LELAND T TAYLOR	5052981748	2873	2874	2875					325311						35.089285	-106.591907	056779788										NO		
2005	DIRECTOR OF TERMINAL OPERATIONS	KIM BREAUX	87110LBQRQ6348S	ALBUQUERQUE REFINED PRODUCTS T ERMINAL	6348 STATE RD 303	ALBUQUERQUE	BERNALILLO	NM	87110	VALERO LOGISTICS OPERATIONS L.P.	PO BOX 691470	SAN ANTONIO	TX		782696000	YES	NO	NO	NO	CHRISTOPHER BURNETT	3612893124	5171							424710						34.994472	-106.659194	142403430								VALERO, LP	848110701	NO		
2004	GENERAL MANAGER	RANDY WORLEY	88203LDRMN905WH	ALDERMAN-CAVE MILLING & GRAIN CO OF NEW MEXICO	905 WHITE MILL RD	ROSWELL	CHAVES	NM	88203	ALDERMAN-CAVE MILLING & GRAIN CO OF NEW MEXICO	PO BOX 2365	ROSWELL	NM		88202	NO	NO	NO	NO	RANDY WORLEY	5056223260	2048							311000						33.355702	-104.460737	784514358										NO		
2004	VICE PRESIDENT	PAUL V. HALL	88031MRCNM2010F	AMERICAN MINERALS INC	2010 4TH ST NE	DEMING	LUNA	NM	88031	C-E MINERALS	HWY 49 S	ANDERSONVILLE	GA		31711	YES	NO	NO	NO	PAUL V. HALL	2299244461	1061							212200						32.277778	-107.733611					NMR05A891				AMERICAN MINERALS INC		NO		
2005	PRESIDENT & COO	JOHN A. FOUST	87401MGPTR2501E	AMIGO PETROLEUM CO	2501 E MAIN ST	FARMINGTON	SAN JUAN	NM	87401	AMIGO PETROLEUM CO	PO BOX 90	FARMINGTON	NM		87499	YES	NO	NO	NO	JOHN FOUST	5052426597	5171							424710						36.739941	-108.173872											NO		
2007	PLANT MANAGER	RICHARD FILA	87002  VNT1945H	ARISTECH ACRYLICS LLC	1945 HWY 304	BELEN	VALENCIA	NM	87002	ARISTECH ACRYLICS LLC	1945 HWY 304	BELEN	NM		87002	YES	NO	NO	NO	ORLANDO GONZALES	8004286648	3081							326113						34.639655	-106.734436	002154545								AALLC HOLDINGS INC.	121463199	NO	OGONZALES@ARISTECHACRYLICS.COM	
