REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10-18-2012	
2011	REGULATORY COMPLIANCE MANAGER	THOMAS LOUISELL	9713WDCNCX261CR	A-DEC INC	2601 CRESTVIEW DR	NEWBERG	YAMHILL	OR	97132	A-DEC INC	2601 CRESTVIEW DR	NEWBERG	OR		97132	YES	NO	NO	NO	PAULA VOGEL	5035389471	3843							339114						45.31518	-122.95168	009617473										NO	PAULA.VOGEL@A-DEC.COM	
2011	DIRECTOR OF MANUFACTURING	JOSEPH KOERNER	97321HPTNT140SW	ABSORBENT TECHNOLOGIES INC QUEEN STREET	140 QUEEN AVE SW	ALBANY	LINN	OR	973223306	ABSORBENT TECHNOLOGIES INC QUEEN STREET	140 QUEEN AVE SW	ALBANY	OR		97322-3306	YES	NO	NO	NO	ROGER CODDINGTON	5419264366	2899							325998	325199	325320				44.62421	-123.10254									ABSORBENT TECHNOLOGIES INC	134979306	NO	RCODDINGTON@ZEBA.COM	
2011	CHIEF TECHNOLOGY OFFICER	KEVIN DEWHITT	9722WGLYXT794SW	AGILYX TIGARD OPERATIONS	7904 SW HUNZIKER AVE	TIGARD	WASHINGTON	OR	97223	AGILYX TIGARD OPERATIONS	7904 SW HUNZIKER AVE	TIGARD	OR		97223	YES	NO	NO	NO	RITA HANSEN	5032173165								325199						45.427577	-122.757874	148012185										NO	RHANSEN@AGILYX.COM	
2011	GENERAL MANAGER	SCOTT CARPENTER	97302RLNCN1660C	AKZO NOBEL COATINGS INC	1660 CROSS ST SE	SALEM	MARION	OR	973021318	AKZO NOBEL COATINGS INC	PO BOX 12336	SALEM	OR		97309	YES	NO	NO	NO	SCOTT CARPENTER	5035852700	2851							325510						44.92569	-123.02379	804785210								AKZO NOBEL NV	021973748	NO	SCOTT.CARPENTER@AKZONOBEL.COM	
2011	GENERAL MANAGER	SCOTT CARPENTER	97302RLNCN1660C	AKZO NOBEL COATINGS INC	1660 CROSS ST SE	SALEM	MARION	OR	973021318	AKZO NOBEL COATINGS INC	PO BOX 12336	SALEM	OR		97309	YES	NO	NO	NO	SCOTT CARPENTER	5035852700	2851							325510						44.92569	-123.02379	804785210								AKZO NOBEL NV	021973748	NO	SCOTT.CARPENTER@AKZONOBEL.COM	
2011	GENERAL MANAGER	SCOTT CARPENTER	97302RLNCN1660C	AKZO NOBEL COATINGS INC	1660 CROSS ST SE	SALEM	MARION	OR	973021318	AKZO NOBEL COATINGS INC	PO BOX 12336	SALEM	OR		97309	YES	NO	NO	NO	SCOTT CARPENTER	5035852700	2851							325510						44.92569	-123.02379	804785210								AKZO NOBEL NV	021973748	NO	SCOTT.CARPENTER@AKZONOBEL.COM	
2011	GENERAL MANAGER	SCOTT CARPENTER	97302RLNCN1660C	AKZO NOBEL COATINGS INC	1660 CROSS ST SE	SALEM	MARION	OR	973021318	AKZO NOBEL COATINGS INC	PO BOX 12336	SALEM	OR		97309	YES	NO	NO	NO	SCOTT CARPENTER	5035852700	2851							325510						44.92569	-123.02379	804785210								AKZO NOBEL NV	021973748	NO	SCOTT.CARPENTER@AKZONOBEL.COM	
2011	GENERAL MANAGER	SCOTT CARPENTER	97302RLNCN1660C	AKZO NOBEL COATINGS INC	1660 CROSS ST SE	SALEM	MARION	OR	973021318	AKZO NOBEL COATINGS INC	PO BOX 12336	SALEM	OR		97309	YES	NO	NO	NO	SCOTT CARPENTER	5035852700	2851							325510						44.92569	-123.02379	804785210								AKZO NOBEL NV	021973748	NO	SCOTT.CARPENTER@AKZONOBEL.COM	
2011	GENERAL MANAGER	SCOTT CARPENTER	97302RLNCN1660C	AKZO NOBEL COATINGS INC	1660 CROSS ST SE	SALEM	MARION	OR	973021318	AKZO NOBEL COATINGS INC	PO BOX 12336	SALEM	OR		97309	YES	NO	NO	NO	SCOTT CARPENTER	5035852700	2851							325510						44.92569	-123.02379	804785210								AKZO NOBEL NV	021973748	NO	SCOTT.CARPENTER@AKZONOBEL.COM	
2011	GENERAL MANAGER	SCOTT CARPENTER	97302RLNCN1660C	AKZO NOBEL COATINGS INC	1660 CROSS ST SE	SALEM	MARION	OR	973021318	AKZO NOBEL COATINGS INC	PO BOX 12336	SALEM	OR		97309	YES	NO	NO	NO	SCOTT CARPENTER	5035852700	2851							325510						44.92569	-123.02379	804785210								AKZO NOBEL NV	021973748	NO	SCOTT.CARPENTER@AKZONOBEL.COM	
2011	PLANT MANAGER	SEAN MILNER	97470LCNCB867NB	ALCAN CABLE	867 N BANK RD	ROSEBURG	DOUGLAS	OR	97470	ALCAN CABLE	867 N BANK RD	ROSEBURG	OR		97470	YES	NO	NO	NO	SEAN MILNER	5414406608	3357	3355						331319						43.312538	-123.340544	001504935		ORD987177045		ORR201063				ALCAN CORP	001504935	NO	SEAN.MILNER@ALCAN.COM	
2011	MAINT MANAGER	ERIC TRUMMEL	97221LPNRS6149S	ALPENROSE DAIRY	6149 SW SHATTUCK RD	PORTLAND	MULTNOMAH	OR	972211044	ALPENROSE DAIRY	6149 SW SHATTUCK RD	PORTLAND	OR		97221-1044	YES	NO	NO	NO	CARL CADONAU JR.	5032441133	2026	2024						311511						45.4795	-122.7386											NO	CARLJR@ALPENROSE.COM	
2011	MANUFACTURING ENG	JON WARREN	9712WMRCNP248NW	AMERICAN PRECISION INDUSTRIES	2480 NW 229TH AVE	HILLSBORO	WASHINGTON	OR	97124	AMERICAN PRECISION INDUSTRIES	2480 NW 229TH AVE	HILLSBORO	OR		97124	YES	NO	NO	NO	JON WARREN	5033521935								332710						45.538622	-122.908827	089447387								AMERICAN PRECSION INDUSTRIES	089447387	NO		
2011	MANUFACTURING ENG	JON WARREN	9712WMRCNP248NW	AMERICAN PRECISION INDUSTRIES	2480 NW 229TH AVE	HILLSBORO	WASHINGTON	OR	97124	AMERICAN PRECISION INDUSTRIES	2480 NW 229TH AVE	HILLSBORO	OR		97124	YES	NO	NO	NO	JON WARREN	5033521935								332710						45.538622	-122.908827	089447387								AMERICAN PRECSION INDUSTRIES	089447387	NO		
2011	PLANT MANAGER	JEFF THOMPSON	97058KRRMCTIEPL	AMERITIES WEST LLC	100 TIE PLANT RD	THE DALLES	WASCO	OR	97058	AMERITIES WEST LLC	100 TIE PLANT RD	THE DALLES	OR		97058	YES	NO	NO	NO	JEFF THOMPSON	5412961808	2491							321114						45.5985	-121.1511									AMERITIES HOLDINGS LLC		NO	JTHOMPSON@AMERITIES.COM	
2011	PLANT MANAGER	JEFF THOMPSON	97058KRRMCTIEPL	AMERITIES WEST LLC	100 TIE PLANT RD	THE DALLES	WASCO	OR	97058	AMERITIES WEST LLC	100 TIE PLANT RD	THE DALLES	OR		97058	YES	NO	NO	NO	JEFF THOMPSON	5412961808	2491							321114						45.5985	-121.1511									AMERITIES HOLDINGS LLC		NO	JTHOMPSON@AMERITIES.COM	
2011	PLANT MANAGER	JEFF THOMPSON	97058KRRMCTIEPL	AMERITIES WEST LLC	100 TIE PLANT RD	THE DALLES	WASCO	OR	97058	AMERITIES WEST LLC	100 TIE PLANT RD	THE DALLES	OR		97058	YES	NO	NO	NO	JEFF THOMPSON	5412961808	2491							321114						45.5985	-121.1511									AMERITIES HOLDINGS LLC		NO	JTHOMPSON@AMERITIES.COM	
2011	HSE COORDINATOR	SCOTT GUNDERSON	97217RGNVR2301N	ARCLIN SURFACES LLC	2301 N COLUMBIA BLVD	PORTLAND	MULTNOMAH	OR	972176954	ARCLIN SURFACES LLC	PO BOX 17307	PORTLAND	OR		972170307	YES	NO	NO	NO	KELLY GREGORY	5032891111	2672	2821						322222	325211					45.588771	-122.690793	181227158								ARCLIN INC	255298184	NO		
2011	HSE COORDINATOR	SCOTT GUNDERSON	97217RGNVR2301N	ARCLIN SURFACES LLC	2301 N COLUMBIA BLVD	PORTLAND	MULTNOMAH	OR	972176954	ARCLIN SURFACES LLC	PO BOX 17307	PORTLAND	OR		972170307	YES	NO	NO	NO	KELLY GREGORY	5032891111	2672	2821						322222	325211					45.588771	-122.690793	181227158								ARCLIN INC	255298184	NO		
2011	HSE COORDINATOR	SCOTT GUNDERSON	97217RGNVR2301N	ARCLIN SURFACES LLC	2301 N COLUMBIA BLVD	PORTLAND	MULTNOMAH	OR	972176954	ARCLIN SURFACES LLC	PO BOX 17307	PORTLAND	OR		972170307	YES	NO	NO	NO	KELLY GREGORY	5032891111	2672	2821						322222	325211					45.588771	-122.690793	181227158								ARCLIN INC	255298184	NO		
2011	HSE COORDINATOR	SCOTT GUNDERSON	97217RGNVR2301N	ARCLIN SURFACES LLC	2301 N COLUMBIA BLVD	PORTLAND	MULTNOMAH	OR	972176954	ARCLIN SURFACES LLC	PO BOX 17307	PORTLAND	OR		972170307	YES	NO	NO	NO	KELLY GREGORY	5032891111	2672	2821						322222	325211					45.588771	-122.690793	181227158								ARCLIN INC	255298184	NO		
2011	HSE COORDINATOR	SCOTT GUNDERSON	97217RGNVR2301N	ARCLIN SURFACES LLC	2301 N COLUMBIA BLVD	PORTLAND	MULTNOMAH	OR	972176954	ARCLIN SURFACES LLC	PO BOX 17307	PORTLAND	OR		972170307	YES	NO	NO	NO	KELLY GREGORY	5032891111	2672	2821						322222	325211					45.588771	-122.690793	181227158								ARCLIN INC	255298184	NO		
2011	HSE COORDINATOR	SCOTT GUNDERSON	97217RGNVR2301N	ARCLIN SURFACES LLC	2301 N COLUMBIA BLVD	PORTLAND	MULTNOMAH	OR	972176954	ARCLIN SURFACES LLC	PO BOX 17307	PORTLAND	OR		972170307	YES	NO	NO	NO	KELLY GREGORY	5032891111	2672	2821						322222	325211					45.588771	-122.690793	181227158								ARCLIN INC	255298184	NO		
2011	PLANT MANAGER	MARK WELLER	97477CHMBN475NO	ARCLIN USA LLC	475 28TH ST	SPRINGFIELD	LANE	OR	974775181	ARCLIN USA LLC	475 28TH ST	SPRINGFIELD	OR		97477-5181	YES	NO	NO	NO	MARK WELLER	5417466501	2821	2869						325211	325199					44.048889	-122.985556	609431754								ARCLIN INC	255298184	NO	MARK.WELLER@GMAIL.COM	
