REPORTING YEAR	TITLE OF CERTIFYING OFFICIAL	NAME OF CERTIFYING OFFICIAL	TRIFID	FACILITY NAME	FACILITY STREET	FACILITY CITY	FACILITY COUNTY	FACILITY STATE	FACILITY ZIP CODE	FACILITY BIA CODE	FACILITY BIA NAME	MAILING NAME	MAILING STREET	MAILING CITY	MAILING STATE	MAILING PROVINCE	MAILING ZIP CODE	ENTIRE FACILITY IND	PARTIAL FACILITY IND	FEDERAL FACILITY IND	GOCO FACILITY IND	PUBLIC CONTACT NAME	PUBLIC CONTACT PHONE	PRIMARY SIC CODE	SIC CODE 2	SIC CODE 3	SIC CODE 4	SIC CODE 5	SIC CODE 6	NAICS ORIGIN	PRIMARY NAICS CODE	NAICS CODE 2	NAICS CODE 3	NAICS CODE 4	NAICS CODE 5	NAICS CODE 6	LATITUDE	LONGITUDE	DB NR A	DB NR B	RCRA NR A	RCRA NR B	NPDES NR A	NPDES NR B	UIC NR A	UIC NR B	PARENT COMPANY NAME	PARENT COMPANY DB NR	ASSIGNED FED. FACILITY FLAG	PUBLIC CONTACT EMAIL	10/3/2014	
2013	PLANT MANAGER	ED PIATTI	54401MGRYSNFOUR	3M CO -  WAUSAU - GREYSTONE	N FOURTH AVE	WAUSAU	MARATHON	WI	54401			3M CO -  WAUSAU - GREYSTONE	PO BOX 1207	WAUSAU	WI		544021207	YES	NO	NO	NO	MICHELLE DUPEY	7158457241	3295							212313						45.01293	-89.64198	052598299								3M CO	006173082	NO	EPCRA@MMM.COM	
2013	EHS&S MANAGER	GARY LEWIS	54751MC   1425P	3M CO - MENOMONIE	1425 STOKKE PKWY	MENOMONIE	DUNN	WI	54751			3M CO - MENOMONIE	1425 STOKKE PKWY	MENOMONIE	WI		54751	YES	NO	NO	NO	GARY C. LEWIS	7155782370	3081	2672	3299	3812				326113						44.89753	-91.87993	078673084								3M CO	006173082	NO	GCLEWIS@MMM.COM	
2013	PLANT MANAGER	THOMAS HARRIS	53821MCMPNHWY35	3M CO - PRAIRIE DU CHIEN BLDG 50	801 N MARQUETTE RD	PRAIRIE DU CHIEN	CRAWFORD	WI	53821			3M CO - PRAIRIE DU CHIEN BLDG 50	801 N MARQUETTE RD	PRAIRIE DU CHIEN	WI		53821	YES	NO	NO	NO	MARY L. PRISBY	6083262466	3291							327910						43.06181	-91.13847	023505357								3M CO	006173082	NO	MLPRISBY@MMM.COM	
2013	PLANT MANAGER	ED PIATTI	54401M    144RO	3M CO - WAUSAU DOWNTOWN	144 ROSECRANS ST	WAUSAU	MARATHON	WI	54401			3M CO - WAUSAU DOWNTOWN	P. O. BOX 1207	WAUSAU	WI		544021207	YES	NO	NO	NO	MICHELLE DUPEY	7158457241	3295							327999						44.95018	-89.63766	052598299								3M CO	006173082	NO	EPCRA@MMM.COM	
2013	PLANT MANAGER	MARK RATZLAFF	54829MCMPN1640W	3M CUMBERLAND	1640 WESTERN AVE	CUMBERLAND	BARRON	WI	54829			3M CUMBERLAND	1640 WESTERN AVE	CUMBERLAND	WI		54829	YES	NO	NO	NO	MARK A. RATZLAFF	7158228501	3291							327910						45.5399	-92.0179	006173082								3M CO	006173082	NO	MARATZLAFF@MMM.COM	
2013	PLANT MANAGER	LAURA BUHOLCA	5359WNPLSW6474B	5N PLUS WISCONSIN INC	6474 BLANCHAR'S CROSSING	WINDSOR	DANE	WI	53598			5N PLUS WISCONSIN INC	6474 BLANCHAR'S CROSSING	WINDSOR	WI		53598	YES	NO	NO	NO	MATT MORLEY	6082596416								325180	331492	331410	423930			43.205081	-89.33404	964648898										NO	MATTHEW.MORLEY@5NPLUS.COM	
2013	CHEMIST	STEVEN SCHUKOW	54901PNNWL3321N	A P NONWEILER CO INC	3321 N SHORE DR	OSHKOSH	WINNEBAGO	WI	54901			A P NONWEILER CO INC	3321 N SHORE DR	OSHKOSH	WI		54901	YES	NO	NO	NO	STEVE SCHUKOW	9202310850	2851							325510						44.070899	-88.527748	032000522		WID006069298						A.P. NONWEILER CO. INC.		NO	STEVE@APNONWEILER.COM	
2013	DIRECTOR OF ENGINEERING	CHRIS LANGE	53151MNFCT2300S	A&A MANUFACTURING CO INC	2300 S CALHOUN RD	NEW BERLIN	WAUKESHA	WI	53151			A&A MANUFACTURING CO INC	2300 S CALHOUN RD	NEW BERLIN	WI		53151	YES	NO	NO	NO	CHRIS LANGE	2627861500	3069	3061	3499					326299						43.00147	-88.12739	006090583								A & A MANUFACTURING CO INC		NO	CHRIS.LANGE@AAMAN.COM	
2013	CHIEF OPERATING OFFICER	TROY WEIK	54484BPRCS21SWI	A&B PROCESS SYSTEMS	201 S WISCONSIN AVE	STRATFORD	MARATHON	WI	544840086			A&B PROCESS SYSTEMS	201 S WISCONSIN AVE	STRATFORD	WI		54484-0086	YES	NO	NO	NO	BILL THOMPSON	7156872847								332420						44.79892	-90.08664	030175350										NO	BTHOMPSON@ABPROCESS.COM	
2013	SENIOR VICE PRESIDENT	JON MOREAU	54166RRWCS2900E	AARROWCAST INC	2900 E RICHMOND ST	SHAWANO	SHAWANO	WI	54166			AARROWCAST INC	2900 E RICHMOND ST	SHAWANO	WI		54166	YES	NO	NO	NO	MIKE MATHEY	7155263600	3321							331511						44.77468	-88.57941	557103520										NO	MMATHEY@AARROWCAST.COM	
